graph_version,edge_id,edge_key,source_node_id,source_node_name,source_node_type,target_node_id,target_node_name,target_node_type,relationship_type,confidence,evidence_basis,created_at
KG-1.0,KGEDGE-000023,kgnode2_000023_defines_submission_context_kgnode2_000001,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,KGNODE2-000001,Solicitation Amendment,Submission Instruction,defines_submission_context,0.74,domain_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000024,kgnode2_000024_defines_submission_context_kgnode2_000001,KGNODE2-000024,Request for Proposal,Acquisition Metadata,KGNODE2-000001,Solicitation Amendment,Submission Instruction,defines_submission_context,0.74,domain_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000025,kgnode2_000028_defines_submission_context_kgnode2_000001,KGNODE2-000028,Request for Quotation,Acquisition Metadata,KGNODE2-000001,Solicitation Amendment,Submission Instruction,defines_submission_context,0.74,domain_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000026,kgnode2_000022_affects_pricing_kgnode2_000013,KGNODE2-000022,Place of Performance,Delivery Requirement,KGNODE2-000013,Unit Price,Pricing Structure,affects_pricing,0.68,delivery_pricing_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000027,kgnode2_000022_affects_pricing_kgnode2_000029,KGNODE2-000022,Place of Performance,Delivery Requirement,KGNODE2-000029,Payment and Invoice,Pricing Structure,affects_pricing,0.68,delivery_pricing_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000028,kgnode2_000004_administers_acquisition_kgnode2_000012,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000012,Solicitation Number,Acquisition Metadata,administers_acquisition,0.72,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000029,kgnode2_000004_administers_acquisition_kgnode2_000017,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000017,Request for Information,Acquisition Metadata,administers_acquisition,0.72,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000030,kgnode2_000004_administers_acquisition_kgnode2_000020,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,administers_acquisition,0.72,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000031,kgnode2_000004_administers_acquisition_kgnode2_000023,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,administers_acquisition,0.72,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000032,kgnode2_000004_administers_acquisition_kgnode2_000024,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000024,Request for Proposal,Acquisition Metadata,administers_acquisition,0.72,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000033,kgnode2_000004_administers_acquisition_kgnode2_000028,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000028,Request for Quotation,Acquisition Metadata,administers_acquisition,0.72,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000034,kgnode2_000004_issues_or_receives_submission_instruction_kgnode2_000001,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000001,Solicitation Amendment,Submission Instruction,issues_or_receives_submission_instruction,0.7,role_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000035,kgnode2_000011_uses_acquisition_method_kgnode2_000012,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000012,Solicitation Number,Acquisition Metadata,uses_acquisition_method,0.66,agency_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000036,kgnode2_000011_uses_acquisition_method_kgnode2_000017,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000017,Request for Information,Acquisition Metadata,uses_acquisition_method,0.66,agency_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000037,kgnode2_000011_uses_acquisition_method_kgnode2_000020,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,uses_acquisition_method,0.66,agency_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000038,kgnode2_000011_uses_acquisition_method_kgnode2_000023,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,uses_acquisition_method,0.66,agency_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000039,kgnode2_000011_uses_acquisition_method_kgnode2_000024,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000024,Request for Proposal,Acquisition Metadata,uses_acquisition_method,0.66,agency_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000040,kgnode2_000011_uses_acquisition_method_kgnode2_000028,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000028,Request for Quotation,Acquisition Metadata,uses_acquisition_method,0.66,agency_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000041,kgnode2_000011_has_domain_requirement_kgnode2_000002,KGNODE2-000011,Food and Drug Administration,Federal Agency,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,has_domain_requirement,0.66,agency_domain_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000042,kgnode2_000007_may_define_place_of_performance_kgnode2_000022,KGNODE2-000007,Marine Corps Base Camp Lejeune,Military Installation,KGNODE2-000022,Place of Performance,Delivery Requirement,may_define_place_of_performance,0.62,facility_delivery_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000043,kgnode2_000006_may_result_in_contract_type_kgnode2_000003,KGNODE2-000006,Award Basis,Evaluation Method,KGNODE2-000003,Firm Fixed Price,Contract Type,may_result_in_contract_type,0.66,name_based_procurement_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000044,kgnode2_000005_specializes_kgnode2_000025,KGNODE2-000005,Performance Work Statement,Technical Requirement,KGNODE2-000025,Statement of Work,Technical Requirement,specializes,0.84,canonical_name_inference,2026-06-29 15:40:03
