:START_ID,:END_ID,:TYPE,edge_id,relationship_type,confidence:float,evidence_basis
KGNODE2-000004,KGNODE2-000012,ADMINISTERS_ACQUISITION,KGEDGE-000028,administers_acquisition,0.72,role_inference
KGNODE2-000004,KGNODE2-000017,ADMINISTERS_ACQUISITION,KGEDGE-000029,administers_acquisition,0.72,role_inference
KGNODE2-000004,KGNODE2-000020,ADMINISTERS_ACQUISITION,KGEDGE-000030,administers_acquisition,0.72,role_inference
KGNODE2-000004,KGNODE2-000023,ADMINISTERS_ACQUISITION,KGEDGE-000031,administers_acquisition,0.72,role_inference
KGNODE2-000004,KGNODE2-000024,ADMINISTERS_ACQUISITION,KGEDGE-000032,administers_acquisition,0.72,role_inference
KGNODE2-000004,KGNODE2-000028,ADMINISTERS_ACQUISITION,KGEDGE-000033,administers_acquisition,0.72,role_inference
KGNODE2-000004,KGNODE2-000001,ISSUES_OR_RECEIVES_SUBMISSION_INSTRUCTION,KGEDGE-000034,issues_or_receives_submission_instruction,0.7,role_inference
KGNODE2-000011,KGNODE2-000012,USES_ACQUISITION_METHOD,KGEDGE-000035,uses_acquisition_method,0.66,agency_inference
KGNODE2-000011,KGNODE2-000017,USES_ACQUISITION_METHOD,KGEDGE-000036,uses_acquisition_method,0.66,agency_inference
KGNODE2-000011,KGNODE2-000020,USES_ACQUISITION_METHOD,KGEDGE-000037,uses_acquisition_method,0.66,agency_inference
KGNODE2-000011,KGNODE2-000023,USES_ACQUISITION_METHOD,KGEDGE-000038,uses_acquisition_method,0.66,agency_inference
KGNODE2-000011,KGNODE2-000024,USES_ACQUISITION_METHOD,KGEDGE-000039,uses_acquisition_method,0.66,agency_inference
KGNODE2-000011,KGNODE2-000028,USES_ACQUISITION_METHOD,KGEDGE-000040,uses_acquisition_method,0.66,agency_inference
KGNODE2-000011,KGNODE2-000002,HAS_DOMAIN_REQUIREMENT,KGEDGE-000041,has_domain_requirement,0.66,agency_domain_inference
KGNODE2-000007,KGNODE2-000022,MAY_DEFINE_PLACE_OF_PERFORMANCE,KGEDGE-000042,may_define_place_of_performance,0.62,facility_delivery_inference
KGNODE2-000006,KGNODE2-000003,MAY_RESULT_IN_CONTRACT_TYPE,KGEDGE-000043,may_result_in_contract_type,0.66,name_based_procurement_inference
KGNODE2-000005,KGNODE2-000025,SPECIALIZES,KGEDGE-000044,specializes,0.84,canonical_name_inference
