reject_id,reason,structured_requirement_id,opportunity_title,source_file,requirement_statement
CREJ-000032,document_or_process_artifact,SREQ-000059,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni"
CREJ-000033,document_or_process_artifact,SREQ-000067,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,B.EXHIBIT C.CATEGORY 0001 A TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.
CREJ-000034,document_or_process_artifact,SREQ-000070,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,B.EXHIBIT C.CATEGORY 0002 B TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.
CREJ-000035,document_or_process_artifact,SREQ-000073,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,ADMINISTERED BY CODE 36C246 See Delivery Schedule Department of Veterans Affairs Network Contracting Office 6 100 Emancipation Dr.
CREJ-000036,reject_false_certification,SREQ-000081,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project:
CREJ-000037,reject_false_certification,SREQ-000087,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,List any National Cemetery Administration (NCA) contracts currently working or previously worked first followed by Non-NCA contracts.
CREJ-000038,reject_false_certification,SREQ-000090,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,"Department of Veterans Affairs National Cemetery Administration, Contract Services 18434 Joplin Road Triangle, VA 22172 Place of Performance:"
CREJ-000039,document_or_process_artifact,SREQ-000091,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,"Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments:"
CREJ-000040,document_or_process_artifact,SREQ-000094,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,Contractor is responsible for submitting their package in accordance with the guidance in this solicitation.
CREJ-000041,document_or_process_artifact,SREQ-000095,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,Failure to follow the document format or the solicitation guidelines will render the submission
CREJ-000042,reject_false_certification,SREQ-000096,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,3b8ae850899e4ab298f3c2bff29ef889_1.bin,Notice of Intent #FDA-SS-26-06202026 The Food and Drug Administration intends to make sole source awards to the following:
CREJ-000043,document_or_process_artifact,SREQ-000097,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,3b8ae850899e4ab298f3c2bff29ef889_1.bin,This notice of intent is not a solicitation for competitive proposals.
CREJ-000044,reject_false_certification,SREQ-000099,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,Food and Drug Administration REQUIRING OFFICES:
CREJ-000045,reject_false_certification,SREQ-000100,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,"Food and Drug Administration (FDA) is issuing this Request for Information (RFI) as a means of conducting market research, pursuant to FAR Part 10 Market Research."
CREJ-000046,document_or_process_artifact,SREQ-000103,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,"DATE ISSUED PAGE OF PAGES SOLICITATION, OFFER, AND AWARD X SEALED BID (IFB) 1 73 05/01/2026 (Construction, Alteration, or Repair) 36C78626B0017 NEGOTIATED (RFP) IMPORTANT - The ""offer"" section on the reverse must be fully completed by offeror."
CREJ-000047,reject_false_certification,SREQ-000107,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,Standard Operating Procedure National Cemetery Administration CONTRACTOR SAFETY 1.
CREJ-000048,reject_false_certification,SREQ-000110,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_10.bin,"Cape Canaveral National Cemetery Shrine Project- Grass Renovation FY26 Shrine Project Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation Shrine Project SOW General Information The Department of Veterans Affairs, National Cemetery Administration honors veterans with a final resting place and lasting memorials that commemorate their service to our Nation."
CREJ-000049,document_or_process_artifact,SREQ-000114,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT BPA NO.
CREJ-000050,reject_false_certification,SREQ-000115,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,ADMINISTERED BY (If other than Item 6) CODE 36C786 Department of Veterans Affairs Department of Veterans Affairs National Cemetery Administration National Cemetery Administration Contracting Services Contracting Services 18434 Joplin Road 18434 Joplin Road Triangle VA 22172 Triangle VA 22172 8.
CREJ-000051,document_or_process_artifact,SREQ-000116,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,AMENDMENT OF SOLICITATION NUMBER To all Offerors/Bidders 36C78626B0017 X 9B.
CREJ-000052,document_or_process_artifact,SREQ-000117,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS X The above numbered solicitation is amended as set forth in Item 14.
CREJ-000053,document_or_process_artifact,SREQ-000118,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000054,document_or_process_artifact,SREQ-000119,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,"(a) By completing Items 8 and 15, and returning _____1_ ____ copies of the amendment;"
CREJ-000055,document_or_process_artifact,SREQ-000120,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000056,document_or_process_artifact,SREQ-000121,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_13.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amend
CREJ-000057,reject_false_certification,SREQ-000124,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,Kinney Contract Specialist Department of Veterans Affairs National Cemetery Administration Email:
CREJ-000058,document_or_process_artifact,SREQ-000130,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.
CREJ-000059,document_or_process_artifact,SREQ-000131,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.
CREJ-000060,document_or_process_artifact,SREQ-000132,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_3.bin,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee
CREJ-000061,document_or_process_artifact,SREQ-000133,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.
CREJ-000062,reject_false_certification,SREQ-000134,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,ADMINISTERED BY (If other than Item 6) CODE 8.
CREJ-000063,document_or_process_artifact,SREQ-000135,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,AMENDMENT OF SOLICITATION NUMBER 9B.
CREJ-000064,document_or_process_artifact,SREQ-000136,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.
CREJ-000065,document_or_process_artifact,SREQ-000137,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000066,document_or_process_artifact,SREQ-000138,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,"(a) By completing items 8 and 15, and returning copies of the amendment;"
CREJ-000067,document_or_process_artifact,SREQ-000139,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000068,document_or_process_artifact,SREQ-000140,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
CREJ-000069,document_or_process_artifact,SREQ-000141,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_4.bin,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni"
CREJ-000070,document_or_process_artifact,SREQ-000142,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_1.bin,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.
CREJ-000071,document_or_process_artifact,SREQ-000143,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,RFQ - NetApp 36C26226Q0907 Amendment.
CREJ-000072,document_or_process_artifact,SREQ-000144,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):
CREJ-000073,document_or_process_artifact,SREQ-000145,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_2.bin,Please confirm which quantity governs for quoting and contract performance—64 per the SOW or 48 per the Price/Cost Schedule—and issue an amendment or written clarification before the offer due date.
CREJ-000074,document_or_process_artifact,SREQ-000149,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_3.bin,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.
CREJ-000075,document_or_process_artifact,SREQ-000150,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.
CREJ-000076,document_or_process_artifact,SREQ-000152,6515--NetApp,09ce44adca35468fb46ab77206c9afb7_4.bin,The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows:
CREJ-000077,document_or_process_artifact,SREQ-000153,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,CONTRACT ID CODE PAGE 1 OF 2 AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT J 2.
CREJ-000078,reject_false_certification,SREQ-000154,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:"
CREJ-000079,document_or_process_artifact,SREQ-000155,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,AMENDMENT OF SOLICITATION NUMBER FA568226Q0014 9B.
CREJ-000080,document_or_process_artifact,SREQ-000156,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.
CREJ-000081,document_or_process_artifact,SREQ-000157,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000082,document_or_process_artifact,SREQ-000158,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,"(a) By completing items 8 and 15, and returning 1 copies of the amendment;"
CREJ-000083,document_or_process_artifact,SREQ-000159,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000084,document_or_process_artifact,SREQ-000160,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_1.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
CREJ-000085,document_or_process_artifact,SREQ-000161,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_2.bin,METHOD OF SOLICITATION UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST FOR INVITATION REQUEST FOR SEE SCHEDULE AND ALLOCATIONS QUOTE (RFQ) FOR BID (IFB) PROPOSAL (RFP) SYSTEM-DPAS (15 CFR 700) 15.
CREJ-000086,document_or_process_artifact,SREQ-000162,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,CONTRACT ID CODE PAGE 1 OF 2 AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT J 2.
CREJ-000087,reject_false_certification,SREQ-000163,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:"
CREJ-000088,document_or_process_artifact,SREQ-000164,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,AMENDMENT OF SOLICITATION NUMBER FA568226Q0014 9B.
CREJ-000089,document_or_process_artifact,SREQ-000165,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.
CREJ-000090,document_or_process_artifact,SREQ-000166,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000091,document_or_process_artifact,SREQ-000167,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,"(a) By completing items 8 and 15, and returning 1 copies of the amendment;"
CREJ-000092,document_or_process_artifact,SREQ-000168,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000093,document_or_process_artifact,SREQ-000169,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_3.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
CREJ-000094,document_or_process_artifact,SREQ-000170,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_5.bin,"Looking at the questions and answers loaded toady, Please also advise that as per the Salient+Characteristics attachment The units will be a minimum 42” wide, 24” deep and 78” tall, are other dimensions also acceptable?"
CREJ-000095,document_or_process_artifact,SREQ-000173,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_6.bin,See Amendment 2 FA568226Q00140002 Q 7:
CREJ-000096,document_or_process_artifact,SREQ-000174,31 CES n. 25 military gear lockers.,f33e54c1c9644aa8bb2eb283b82a85ad_6.bin,"As far as I can see, you have not included an installation line on the solicitation."
CREJ-000097,document_or_process_artifact,SREQ-000191,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_2.bin,"TABLE OF CONTENTS (X) SECTION DESCRIPTION PAGE(S) (X) SECTION DESCRIPTION PAGE(S) PART I - THE SCHEDULE PART II - CONTRACT CLAUSES A SOLICITATION/CONTRACT FORM I CONTRACT CLAUSES B SUPPLIES OR SERVICES AND PRICES/COSTS PART III - LIST OF DOCUMENTS, EXHIBITS AND OTHER ATTACHMENTS C DESCRIPTION/SPECIFICATIONS/WORK STATEMENT J LIST OF ATTACHMENTS D PACKAGING AND MARKING PART IV - REPRESENTATIONS AND INSTRUCTIONS E INSPECTION AN"
CREJ-000098,document_or_process_artifact,SREQ-000193,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_5.bin,"TABLE OF CONTENTS (X) SECTION DESCRIPTION PAGE(S) (X) SECTION DESCRIPTION PAGE(S) PART I - THE SCHEDULE PART II - CONTRACT CLAUSES A SOLICITATION/CONTRACT FORM I CONTRACT CLAUSES B SUPPLIES OR SERVICES AND PRICES/COSTS PART III - LIST OF DOCUMENTS, EXHIBITS AND OTHER ATTACHMENTS C DESCRIPTION/SPECIFICATIONS/WORK STATEMENT J LIST OF ATTACHMENTS D PACKAGING AND MARKING PART IV - REPRESENTATIONS AND INSTRUCTIONS E INSPECTION AN"
CREJ-000099,document_or_process_artifact,SREQ-000195,Marketplace for Acquisition of Professional Services (MAPS),dd067ed7e23d469dab6e5a622c30460b_6.bin,"TABLE OF CONTENTS (X) SECTION DESCRIPTION PAGE(S) (X) SECTION DESCRIPTION PAGE(S) PART I - THE SCHEDULE PART II - CONTRACT CLAUSES A SOLICITATION/CONTRACT FORM I CONTRACT CLAUSES B SUPPLIES OR SERVICES AND PRICES/COSTS PART III - LIST OF DOCUMENTS, EXHIBITS AND OTHER ATTACHMENTS C DESCRIPTION/SPECIFICATIONS/WORK STATEMENT J LIST OF ATTACHMENTS D PACKAGING AND MARKING PART IV - REPRESENTATIONS AND INSTRUCTIONS E INSPECTION AN"
