normalization_id,original_grounded_statement_id,canonical_statement_id,normalization_type,before_value,after_value,created_at
NORM-000038,GSTMT-000172,CGS-000125,unicode_or_ocr_replacement,’,',2026-06-25 12:55:09
NORM-000039,GSTMT-000181,CGS-000134,punctuation_normalization,"LOWBOY TRUCK.........................$ 11.00 0.00 TRUCK DRIVER, INCLUDES DUMP TRUCK...................$ 11.07 0.00 OPERA","LOWBOY TRUCK...$ 11.00 0.00 TRUCK DRIVER, INCLUDES DUMP TRUCK...$ 11.07 0.00 OPERATOR:",2026-06-25 12:55:09
NORM-000040,GSTMT-000183,CGS-000136,unicode_or_ocr_replacement,’,',2026-06-25 12:55:09
NORM-000041,GSTMT-000184,CGS-000137,unicode_or_ocr_replacement,’,',2026-06-25 12:55:09
NORM-000042,GSTMT-000186,CGS-000139,unicode_or_ocr_replacement,’,',2026-06-25 12:55:09
NORM-000043,GSTMT-000186,CGS-000139,unicode_or_ocr_replacement,‘,',2026-06-25 12:55:09
NORM-000044,GSTMT-000188,CGS-000141,unicode_or_ocr_replacement,’,',2026-06-25 12:55:09
NORM-000045,GSTMT-000200,CGS-000152,punctuation_normalization,"(a) By completing Items 8 and 15, and returning _____1_ ____ copies of the amendment;","(a) By completing Items 8 and 15, and returning ___1_ ___ copies of the amendment;",2026-06-25 12:55:09
NORM-000046,GSTMT-000210,CGS-000161,unicode_or_ocr_replacement,—,-,2026-06-25 12:55:09
NORM-000047,GSTMT-000211,CGS-000162,unicode_or_ocr_replacement,—,-,2026-06-25 12:55:09
NORM-000048,GSTMT-000212,CGS-000163,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000049,GSTMT-000214,CGS-000165,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000050,GSTMT-000238,CGS-000174,unicode_or_ocr_replacement,—,-,2026-06-25 12:55:09
NORM-000051,GSTMT-000239,CGS-000174,unicode_or_ocr_replacement,—,-,2026-06-25 12:55:09
NORM-000052,GSTMT-000240,CGS-000175,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000053,GSTMT-000243,CGS-000178,unicode_or_ocr_replacement,—,-,2026-06-25 12:55:09
NORM-000054,GSTMT-000271,CGS-000191,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000055,GSTMT-000286,CGS-000056,punctuation_normalization,__ ____ Your Quote Reference #______________ Email:,__ ___ Your Quote Reference #___ Email:,2026-06-25 12:55:09
NORM-000056,GSTMT-000287,CGS-000057,punctuation_normalization,stephen.p.smith161.civ@us.navy.mil Quotation Valid For _________Days Also send quotes to:,stephen.p.smith161.civ@us.navy.mil Quotation Valid For ___Days Also send quotes to:,2026-06-25 12:55:09
NORM-000057,GSTMT-000293,CGS-000062,punctuation_normalization,"_____________ IF NOT USA, DUTY INCLUDED IN PRICE Yes ___ No ___ SHIP TO:","___ IF NOT USA, DUTY INCLUDED IN PRICE Yes ___ No ___ SHIP TO:",2026-06-25 12:55:09
NORM-000058,GSTMT-000298,CGS-000210,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000059,GSTMT-000298,CGS-000210,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000060,GSTMT-000301,CGS-000213,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000061,GSTMT-000319,CGS-000218,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000062,GSTMT-000320,CGS-000218,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000063,GSTMT-000321,CGS-000219,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000064,GSTMT-000362,CGS-000235,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000065,GSTMT-000362,CGS-000235,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000066,GSTMT-000363,CGS-000236,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000067,GSTMT-000363,CGS-000236,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000068,GSTMT-000365,CGS-000238,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000069,GSTMT-000365,CGS-000238,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000070,GSTMT-000369,CGS-000242,unicode_or_ocr_replacement,“,"""",2026-06-25 12:55:09
NORM-000071,GSTMT-000369,CGS-000242,unicode_or_ocr_replacement,”,"""",2026-06-25 12:55:09
NORM-000072,GSTMT-000370,CGS-000243,punctuation_normalization,"§ 160.103, and in reference to the party to this Agreement shall mean ____________","§ 160.103, and in reference to the party to this Agreement shall mean ___",2026-06-25 12:55:09
NORM-000073,GSTMT-000371,CGS-000244,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000074,GSTMT-000382,CGS-000254,punctuation_normalization,Safety Management Plan ADD YOUR COMPANY NAME AND DATA Project:__ ADD THE NAME OF YOUR PROJECT HERE Location:____ ADD THE,Safety Management Plan ADD YOUR COMPANY NAME AND DATA Project:__ ADD THE NAME OF YOUR PROJECT HERE Location:___ ADD THE ,2026-06-25 12:55:09
NORM-000075,GSTMT-000396,CGS-000267,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000076,GSTMT-000397,CGS-000267,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000077,GSTMT-000398,CGS-000267,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000078,GSTMT-000399,CGS-000267,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000079,GSTMT-000400,CGS-000267,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000080,GSTMT-000405,CGS-000272,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000081,GSTMT-000408,CGS-000275,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000082,GSTMT-000409,CGS-000275,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
NORM-000083,GSTMT-000410,CGS-000275,unicode_or_ocr_replacement,–,-,2026-06-25 12:55:09
