candidate_value,frequency,quality_score,proposed_labels,example_number,notice_id,opportunity_title,context_snippet
Attachment,549,70,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization, numbered solicitation is amended as set forth in Item 14. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
Template,96,70,deliverable_or_plan,1,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,accessibility standards and identifies remediation efforts needed to address | Section 508 accessibility standards. The template allows offerors or developers to self-e | Section 508 accessibility standard
Template,96,70,deliverable_or_plan,2,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,accessibility standards and identifies remediation efforts needed to address | Section 508 accessibility standards. The template allows offerors or developers to self-e | Section 508 accessibility standard
Template,96,70,deliverable_or_plan,3,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,accessibility standards and identifies remediation efforts needed to address | Section 508 accessibility standards. The template allows offerors or developers to self-e | Section 508 accessibility standard
Template,96,70,deliverable_or_plan,4,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,accessibility standards and identifies remediation efforts needed to address | Section 508 accessibility standards. The template allows offerors or developers to self-e | Section 508 accessibility standard
Template,96,70,deliverable_or_plan,5,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,accessibility standards and identifies remediation efforts needed to address | Section 508 accessibility standards. The template allows offerors or developers to self-e | Section 508 accessibility standard
Offeror,93,70,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,I – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provi
Offeror,93,70,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,I – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provi
Offeror,93,70,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,I – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provi
Offeror,93,70,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,I – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provi
Offeror,93,70,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""section l""], ""pricing_schedule"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists onl"
Proposal,92,70,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but "
Proposal,92,70,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but "
Proposal,92,70,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Doc
Proposal,92,70,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Doc
Proposal,92,70,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Doc
Volume,89,70,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"m Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, I"
Volume,89,70,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"m Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, I"
Volume,89,70,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and format of detail expected for this verificat
Volume,89,70,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Propos
Volume,89,70,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Propos
Schedule,70,70,contract_vehicle_or_method;deliverable_or_plan,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""section l""], ""pricing_schedule"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please c"
Schedule,70,70,contract_vehicle_or_method;deliverable_or_plan,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""section l""], ""pricing_schedule"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please c"
Schedule,70,70,contract_vehicle_or_method;deliverable_or_plan,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,EST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Iss
Schedule,70,70,contract_vehicle_or_method;deliverable_or_plan,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""submit proposal""], ""pricing_schedule"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pub. L. 115-91 | Sect"
Schedule,70,70,contract_vehicle_or_method;deliverable_or_plan,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""submit proposal""], ""pricing_schedule"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pub. L. 115-91 | Sect"
Award,57,70,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""evaluation factors"", ""basis for award"", ""best value""], ""proposal_instructions"": Section II | Section III | Section IV | Section V | section 743 of Division E"
Award,57,70,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""evaluation factors"", ""basis for award"", ""best value""], ""proposal_instructions"": Section II | Section III | Section IV | Section V | section 743 of Division E"
Award,57,70,buyer_process_or_document,3,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to t"
Award,57,70,buyer_process_or_document,4,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to t"
Award,57,70,buyer_process_or_document,5,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to t"
Report,38,70,deliverable_or_plan,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,Cover Letter-Administrative Proposal 10 Pages II Technical Proposal 80 Pages II | Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec
Report,38,70,deliverable_or_plan,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,Cover Letter-Administrative Proposal 10 Pages II Technical Proposal 80 Pages II | Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec
Report,38,70,deliverable_or_plan,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,Cover Letter-Administrative Proposal 10 Pages II Technical Proposal 80 Pages II | Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec
Report,38,70,deliverable_or_plan,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,Cover Letter-Administrative Proposal 10 Pages II Technical Proposal 80 Pages II | Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec
Report,38,70,deliverable_or_plan,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,Cover Letter-Administrative Proposal 10 Pages II Technical Proposal 80 Pages II | Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec
Regulation,37,70,compliance_or_clause,1,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,"conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. part 13 | part 12 | "
Regulation,37,70,compliance_or_clause,2,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,"conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. part 13 | part 12 | "
Regulation,37,70,compliance_or_clause,3,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,ance with the Addendum to FAR 52.212-2. The award will | part 1315. | part 2002 | part 774 of the Export Administration Regulations under subchapter C of chapter VII of t | part 810 of 
Regulation,37,70,compliance_or_clause,4,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,ance with the Addendum to FAR 52.212-2. The award will | part 1315. | part 2002 | part 774 of the Export Administration Regulations under subchapter C of chapter VII of t | part 810 of 
Regulation,37,70,compliance_or_clause,5,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,ance with the Addendum to FAR 52.212-2. The award will | part 1315. | part 2002 | part 774 of the Export Administration Regulations under subchapter C of chapter VII of t | part 810 of 
Exhibit,33,70,buyer_process_or_document,1,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws, DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B
Exhibit,33,70,buyer_process_or_document,2,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,PRICE LISTING/GSA Is this a PRICE LISTED item? Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B
Exhibit,33,70,buyer_process_or_document,3,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws," Yes, include copy of price list with your quote. Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B"
Exhibit,33,70,buyer_process_or_document,4,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,"A, DUTY INCLUDED IN PRICE Yes ___ No ___ SHIP TO: Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B"
Exhibit,33,70,buyer_process_or_document,5,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,"valuation criteria"", ""lpta""], ""pricing_schedule"": Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B"
