named_requirement_id,taxonomy_id,family,category,canonical_name,matched_term,requirement_id,notice_id,opportunity_title,source_file,confidence
NREQ-000011,TAX-000049,proposal_component,proposal_structure,Price Proposal,price proposal,REQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000012,TAX-000050,proposal_component,proposal_structure,Contract Documentation,contract documentation,REQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000013,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000014,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000015,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000016,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000017,TAX-000049,proposal_component,proposal_structure,Price Proposal,price proposal,REQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000018,TAX-000050,proposal_component,proposal_structure,Contract Documentation,contract documentation,REQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000019,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000020,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000021,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000022,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000023,TAX-000049,proposal_component,proposal_structure,Price Proposal,price proposal,REQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000024,TAX-000050,proposal_component,proposal_structure,Contract Documentation,contract documentation,REQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000025,TAX-000050,proposal_component,proposal_structure,Contract Documentation,contract documentation,REQ-000008,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.85
NREQ-000026,TAX-000043,evaluation_factor,source_selection,Compliance,compliance,REQ-000009,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.7
NREQ-000027,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000017,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.75
NREQ-000028,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000018,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.75
NREQ-000029,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000019,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.75
NREQ-000030,TAX-000006,certification,federal_cloud,FedRAMP,fedramp,REQ-000022,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.65
NREQ-000031,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000032,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000033,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000034,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000035,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000036,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000037,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000038,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000039,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000040,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000041,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000042,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000043,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000044,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000045,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000046,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000047,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000048,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000049,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000050,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000051,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000052,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000053,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000054,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000055,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000056,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000057,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000058,TAX-000044,evaluation_factor,source_selection,Best Value,best value,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000059,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000060,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000061,TAX-000085,procurement_method,acquisition_strategy,Best Value,best value,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000062,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.85
NREQ-000063,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000064,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000065,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000066,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000067,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000068,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000069,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000070,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000071,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000072,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000073,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000074,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000075,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000076,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000077,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000078,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000079,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000080,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000081,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000082,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.8
NREQ-000083,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000084,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000085,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000086,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000087,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000088,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000089,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000090,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000091,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000092,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000093,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000094,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000095,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000096,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000097,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000098,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000099,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000100,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.75
NREQ-000101,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000102,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000103,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000104,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000105,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000106,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000107,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000108,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000109,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000110,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000111,TAX-000006,certification,federal_cloud,FedRAMP,fedramp,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000112,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000113,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000114,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000115,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000116,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.65
NREQ-000117,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000118,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000119,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000120,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000121,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,0.7
NREQ-000122,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000123,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000124,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000125,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000126,TAX-000089,compliance_clause,regulatory,Section 889,section 889,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000127,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000041,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000128,TAX-000042,evaluation_factor,source_selection,Risk,risk,REQ-000041,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
NREQ-000129,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000041,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,0.7
