canonical_requirement_id,structured_requirement_id,notice_id,opportunity_title,source_file,requirement_type,named_value,actor,action,artifact_type,artifact,quantity,condition,mandatory_flag,business_value,source_statement,confidence
CREQ-000024,SREQ-000047,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,review_required,,,,proposal_volume,quote,,,unknown,review,Quotes that exceed the evaluation criteria will not receive higher ratings.,0.55
CREQ-000025,SREQ-000048,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,review_required,,offeror,meet,proposal_volume,offer,,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror",optional_or_conditional,review,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror.",0.95
CREQ-000026,SREQ-000049,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation_requirement,LPTA,,,evaluation_or_award,lpta,,,unknown,high,The LPTA source selection process does not permit tradeoffs between price and non-price factors.,0.55
CREQ-000027,SREQ-000050,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,review_required,,government,evaluate,proposal_volume,quote,,,unknown,review,The Government intends to evaluate quotes and award a contract with clarif,0.9
CREQ-000028,SREQ-000060,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,pricing_requirement,DELIVERED PRICES,,provide,,,,,unknown,medium,REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,0.6
CREQ-000029,SREQ-000061,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,review_required,,,,proposal_volume,quote,,,unknown,review,______________ Your Quote Reference #______________ Email:,0.5
CREQ-000030,SREQ-000062,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,review_required,,,,proposal_volume,quote,,,unknown,review,stephen.p.smith161.civ@us.navy.mil Quotation Valid For _________Days Also send quotes to:,0.55
CREQ-000031,SREQ-000063,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,operational_requirement,,offeror,award,proposal_volume,offer,,In accordance with FAR 52,yes,medium,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",0.95
CREQ-000032,SREQ-000064,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,review_required,,,award,,,,,yes,review,Provisions below MUST be filled in to be considered for award.,0.7
CREQ-000033,SREQ-000065,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,pricing_requirement,PRICE LIST,,,pricing,price list,,,unknown,medium,PRICE LISTING/GSA Is this a PRICE LISTED item?,0.5
CREQ-000034,SREQ-000066,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,pricing_requirement,price list,,include,proposal_volume,quote,,"If Yes, include copy of price list with your quote",unknown,medium,"If Yes, include copy of price list with your quote.",0.7
CREQ-000035,SREQ-000068,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,certification_requirement,CERTIFICATE OF COMPLIANCE,,,certification_or_standard,certificate of compliance,,,unknown,high,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,0.55
CREQ-000036,SREQ-000069,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,certification_requirement,CHEMICAL & MECHANICAL CERTIFICATION,,,certification_or_standard,chemical & mechanical certification,,,unknown,high,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,0.55
CREQ-000037,SREQ-000071,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,certification_requirement,CERTIFICATE OF COMPLIANCE,,,certification_or_standard,certificate of compliance,,,unknown,high,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,0.55
CREQ-000038,SREQ-000072,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,certification_requirement,CHEMICAL & MECHANICAL CERTIFICATION,,,certification_or_standard,chemical & mechanical certification,,,unknown,high,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,0.55
CREQ-000039,SREQ-000074,6b408e7c185a4f70a8ed51e4fb0b3c2b,7195--Solar Shades - B3 PACT,6b408e7c185a4f70a8ed51e4fb0b3c2b_1.bin,review_required,,,,proposal_volume,quote,,,unknown,review,GENERAL INFORMATION CONTACT INFORMATION ADDITIONAL INFORMATION DESCRIPTION This pre-solicitation notice is not a request for formal proposals or quotes.,0.55
CREQ-000040,SREQ-000075,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,6934753cfbdf45f1b93928b67e93355a_1.bin,review_required,,offeror,award,proposal_volume,offer,,,unknown,review,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria).",0.9
CREQ-000041,SREQ-000076,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,review_required,,,,proposal_volume,quote,,,unknown,review,"This notice does NOT constitute a request for proposals, request for quote, or invitation for bid.",0.55
CREQ-000042,SREQ-000077,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,review_required,,vendor,provide,,,,,unknown,review,The VHA Network Contracting Office 6 (NCO 6) is conducting a market survey to find qualified vendors who can provide the following item:,0.75
CREQ-000043,SREQ-000078,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,operational_requirement,,contractor,submit,,,,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation",yes,medium,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation.",0.85
CREQ-000044,SREQ-000079,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,operational_requirement,,contractor,provide,,,,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are",yes,medium,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",0.85
CREQ-000045,SREQ-000080,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,review_required,,,submit,proposal_volume,offer,,,yes,review,Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered “grey market”.,0.85
CREQ-000046,SREQ-000082,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,operational_requirement,provide material,vendor,provide,,,,,yes,medium,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).,0.85
CREQ-000047,SREQ-000083,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,operational_requirement,,vendor,provide,,,,,yes,medium,The Vendor shall provide the following material upon request by the COR:,0.85
CREQ-000048,SREQ-000084,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,review_required,,,provide,,,,,unknown,review,Description Unit Max Qty 0001 Provide ¾” Road Base Gravel (1 qty = 1 ton) Each 90 0002 Provide Crushed Fines (1 qty = 1 ton) Each 90 0003 Provide 3/8” Clean Gravel Chips (1 qty = 1 ton) Each 180 0004 Provide Concrete Sand (1 qty = 1 ton) Each 120 0005 Provide Screened Topsoil (1 qty = 1 ton) Each 75 0006 Provide Fill Dirt (1 qty = 1 ton) Each 75 FOB:,0.6
CREQ-000049,SREQ-000085,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,operational_requirement,deliver to,contractor,deliver,,,,,yes,medium,"Destination The contractor shall deliver to Black Hills National Cemetery located at 20901 Pleasant Valley Drive, Sturgis, SD 57785 the following:",0.85
CREQ-000050,SREQ-000086,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,experience_requirement,"comparable in size, complexity and scope",contractor,identify,,,,,yes,high,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated.",0.85
CREQ-000051,SREQ-000088,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,experience_requirement,Past Performance,contractor,provide,proposal_volume,past performance,,if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description o,unknown,high,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position",0.9
CREQ-000052,SREQ-000089,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_5.bin,staffing_requirement,personnel,contractor,,staffing_or_personnel,personnel,,,yes,high,"DIGNITY CLAUSE Respect for Headstones and Markers in National Cemeteries Handling of Markers and Headstones Every action by contractor personnel at a national cemetery must be performed with the special care, reverence, dignity, and respect that acknowledges the cemetery as the final resting place that commemorates the service and sacrifice that service members, Veterans and their families made for our Nation.",0.8
CREQ-000053,SREQ-000092,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,experience_requirement,Past Performance,,,proposal_volume,past performance,,in accordance with the format in Subpart 12,unknown,high,"A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice.",0.55
CREQ-000054,SREQ-000093,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,review_required,,,,proposal_volume,quote,,,unknown,review,"quotes are being requested, and a written solicitation will not be issued.",0.55
CREQ-000055,SREQ-000098,3b8ae850899e4ab298f3c2bff29ef889,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,3b8ae850899e4ab298f3c2bff29ef889_1.bin,review_required,,,submit,,,7 days,within 7 days to the individual listed,yes,review,Any other firms desiring consideration must fully identify their interest and capability to provide this service or submit a proposal within 7 days to the individual listed.,0.7
CREQ-000056,SREQ-000101,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,review_required,,government,award,proposal_volume,quote,,,unknown,review,"This is a REQUEST FOR INFORMATION (RFI) ONLY, not a Request for Quote (RFQ) and does not commit the Government to award a contract now or in the future.",0.9
CREQ-000057,SREQ-000102,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_1.bin,pricing_requirement,UNIT PRICE,,,pricing,unit price,,in accordance with the attached Statement of Work Contract Period,unknown,medium,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:,0.55
CREQ-000058,SREQ-000104,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,review_required,,,,proposal_volume,offer,,,unknown,review,ADDRESS OFFER TO Department of Veterans Affairs Daniel.kinney@va.gov National Cemetery Administration Contracting Services 18434 Joplin Road Triangle VA 22172 9.,0.55
CREQ-000059,SREQ-000105,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,review_required,,,include,,,,,unknown,review,TELEPHONE NUMBER (Include area code) (NO COLLECT CALLS) CALL:,0.6
CREQ-000060,SREQ-000106,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_5.bin,review_required,,,submit,,,,,optional_or_conditional,review,"rather, ANSI-accredited SDOs may submit their documents for approval as American National Standards (ANS).",0.7
CREQ-000061,SREQ-000108,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,review_required,,,comply,certification_or_standard,nist,,,unknown,review,"The National Cemetery (NCA) program will establish procedures and practices that comply with VA policy, NCA policy, and current Occupational Safety and Health Administration (OSHA) Standards in providing a safe work environment for its employees and volunteers.",0.75
CREQ-000062,SREQ-000109,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,review_required,,,comply,,,,,unknown,review,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,0.6
CREQ-000063,SREQ-000111,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_11.bin,review_required,,contractor,provide,,,,if laydown will have water/electric access available?,unknown,review,"Could the government please provide Contractor Laydown Area Info, including location, dimensions, and if laydown will have water/electric access available?",0.75
CREQ-000064,SREQ-000112,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_11.bin,review_required,,,provide,,,,"If so please provide any specs/requirements, if any",unknown,review,"If so please provide any specs/requirements, if any.",0.55
CREQ-000065,SREQ-000113,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_11.bin,review_required,,government,provide,,,,,unknown,review,"Can the Government provide as-built drawings and pump station information including pump curves, flow rates, piping sizes, electrical service, and available footprint for the injection system?",0.75
CREQ-000066,SREQ-000122,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_14.bin,review_required,,contractor,submit,,,,,unknown,review,§ 5.5(a)(3)(ii) require contractors to submit weekly a copy of all payrolls to the Federal agency,0.75
CREQ-000067,SREQ-000123,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,review_required,,,perform,,,,,yes,review,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,0.7
CREQ-000068,SREQ-000125,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,certification_requirement,CERTIFICATE OF COMPLIANCE,,,certification_or_standard,certificate of compliance,,,unknown,high,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING—CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.,0.55
CREQ-000069,SREQ-000126,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,review_required,,offeror,comply,proposal_volume,offer,,If awarded a contract (see FAR 2,unknown,review,"8127(l)(2), the offeror certifies that— (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:",0.9
CREQ-000070,SREQ-000127,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,review_required,,,provide,,,,,optional_or_conditional,review,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,0.7
CREQ-000071,SREQ-000128,3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",3164fcc003e84650b53a7bdb56485b05_1.bin,staffing_requirement,personnel,personnel,provide,staffing_or_personnel,personnel,,,unknown,high,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",0.9
