cluster_id,canonical_statement_id,normalized_text_hash,opportunity_title,cluster_size,duplicate_count,canonical_text,created_at
CLUSTER-000011,CGS-000023,29425c3442ca2c2070bec56f0cd88a4cd99089bb68ad6cb8437c6ebd9d102a26,Selective Service System Website Modernization,2,1,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",2026-06-26 01:46:47
CLUSTER-000012,CGS-000024,4539da89162a9adb3a83270b6212fd5a0d175fb0bc7d23ceeade2434aa1ad3be,Selective Service System Website Modernization,3,2,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.,2026-06-26 01:46:47
CLUSTER-000013,CGS-000025,8881299e7df810b4174ccab7804e95814dd44d9b8fe8225b78da966eafec3f46,Selective Service System Website Modernization,3,2,ADMINISTERED BY (If other than Item 6) CODE 8.,2026-06-26 01:46:47
CLUSTER-000014,CGS-000026,b32931849cfd0fc52599877578040a75de9b32a857cf261ee8344347565e8724,Selective Service System Website Modernization,3,2,AMENDMENT OF SOLICITATION NUMBER 9B.,2026-06-26 01:46:47
CLUSTER-000015,CGS-000027,3f2627a6effff451c7c1b7ccbd28191befe4ebe815c9ce5fbaa18f83b49c914b,Selective Service System Website Modernization,6,5,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.,2026-06-26 01:46:47
CLUSTER-000016,CGS-000029,ba6605d34b9920d08cac6701e02b867b2a14208e90822303abf8017303d3a600,JSCG-P Cristobal Colon Base Life Support,2,1,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",2026-06-26 01:46:47
CLUSTER-000017,CGS-000040,512be29da22aeb481fb1e5bc8b3ccb3505428f9c1650af83692f778ae085661d,JSCG-P Cristobal Colon Base Life Support,3,2,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-26 01:46:47
CLUSTER-000018,CGS-000041,e475c773d70abc9ed4fbebca38c47805186c5b3a53cfb58452d030616f59e9d7,JSCG-P Cristobal Colon Base Life Support,2,1,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,2026-06-26 01:46:47
CLUSTER-000019,CGS-000042,3f9a053ce78ecde13ff824c73fc6807601a4648a141360a50949da5f64fe02ce,JSCG-P Cristobal Colon Base Life Support,2,1,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,2026-06-26 01:46:47
CLUSTER-000020,CGS-000043,ef7c0bc71fe13f744c3f0ffbeff11f8bb24f432cd1eadb24a2a44871b63c742a,JSCG-P Cristobal Colon Base Life Support,4,3,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-26 01:46:47
CLUSTER-000021,CGS-000047,42591422aba6cc1c4fbc2e163c35b20259fea8c5fe68909648e185a24e7aa484,JSCG-P Cristobal Colon Base Life Support,2,1,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",2026-06-26 01:46:47
CLUSTER-000022,CGS-000048,101751124bc65095f088e21f88ab093fa7535cc4c70908fe1c7ab4549ff20f8a,JSCG-P Cristobal Colon Base Life Support,2,1,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",2026-06-26 01:46:47
CLUSTER-000023,CGS-000049,cdddb133bfa402632ebaaf0c7cf8916c948e14e718993e3f2784c167d9667dc1,JSCG-P Cristobal Colon Base Life Support,2,1,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an ""Acceptable"" rating in the technical capability assessment.",2026-06-26 01:46:47
CLUSTER-000024,CGS-000054,f67e56194c0e509c2e5253111617d7a8324c8797a91a4200560afdb0e675459d,JSCG-P Cristobal Colon Base Life Support,2,1,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni",2026-06-26 01:46:47
CLUSTER-000025,CGS-000056,c80aee0312ce661409e52ca01cb19ddc8b481283538b53f24deb90ac5bf14460,Socket Head Cap Screws,2,1,___ Your Quote Reference #___ Email:,2026-06-26 01:46:47
CLUSTER-000026,CGS-000057,cdf9e3369e345765bd7b76b9970578cad59773210b791d5aaffa2cd8be742631,Socket Head Cap Screws,2,1,stephen.p.smith161.civ@us.navy.mil Quotation Valid For ___Days Also send quotes to:,2026-06-26 01:46:47
CLUSTER-000027,CGS-000058,151172e54c65ba66d1c778b9bb9588e97f3a7db3fc18f572a1b500a463baa5b3,Socket Head Cap Screws,2,1,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",2026-06-26 01:46:47
CLUSTER-000028,CGS-000059,f354702be1855ccddc6b9dbed6ad4ee15f3e34ba0bc6a6549ebdceae508f0eff,Socket Head Cap Screws,2,1,Provisions below MUST be filled in to be considered for award.,2026-06-26 01:46:47
CLUSTER-000029,CGS-000060,0777bc218dc32139a1510ad6cd17c07afd82154d10447e100a746fb1d4606147,Socket Head Cap Screws,2,1,PRICE LISTING/GSA Is this a PRICE LISTED item?,2026-06-26 01:46:47
CLUSTER-000030,CGS-000061,20a68a56fafda7dba59427d9dd61c3949003da503fa24daf4bd5eaa8dde8b821,Socket Head Cap Screws,4,3,"If Yes, include copy of price list with your quote.",2026-06-26 01:46:47
CLUSTER-000031,CGS-000062,e0156a505f732183f79955d745baadb13176e894f0db77c601424a8c2b60c5b2,Socket Head Cap Screws,2,1,"___ IF NOT USA, DUTY INCLUDED IN PRICE Yes ___ No ___ SHIP TO:",2026-06-26 01:46:47
CLUSTER-000032,CGS-000063,1fcea66dc6ab9786450c237655fdaa41336cb81a9b5e33899c8eaa255898ac12,Socket Head Cap Screws,2,1,CONTRACT DATA REQUIREMENTS LIST (2 DATA ITEMS) A.CONTRACT LINE ITEM NO.,2026-06-26 01:46:47
CLUSTER-000033,CGS-000065,872144986816460227d66fabe48ec47ee79728d8b1767eb57c46c69a7bb21642,Socket Head Cap Screws,2,1,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,2026-06-26 01:46:47
CLUSTER-000034,CGS-000066,576d4e0e98c2ad2a3ae573a0757c042b32a978b1602f7cfdc978fdbbe3242e99,Socket Head Cap Screws,2,1,2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8.,2026-06-26 01:46:47
CLUSTER-000035,CGS-000067,9e163eb36037266cd7cfa1d47eed93be74cc213c84c694b47ded801db043b3d1,Socket Head Cap Screws,2,1,CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT 133.2 0 1 0 SUBMISSION N/A N/A N/A 16 REMARKS 0 0 0 1.,2026-06-26 01:46:47
CLUSTER-000036,CGS-000068,cc834f86c83aac4383c29ba2d72cd9b7f3e594b0f24b81dc41ebeaaac0b46260,Socket Head Cap Screws,2,1,For Payment & Submission of Data refer to Clauses 252.232-7006 & 252.232-7003 or 52.232-36.,2026-06-26 01:46:47
CLUSTER-000037,CGS-000069,bda855c074578610000e1e4dc43b7519aff80669936567d60412e7123c756a9e,Socket Head Cap Screws,2,1,Each Data Item Submitted by Vendor must be Submitted under a Separate Shipment Number.,2026-06-26 01:46:47
CLUSTER-000038,CGS-000070,aac5812a8029e86f31bbbd90ed46ec9cc33ddded4a77e7428119999ee19dea79,Socket Head Cap Screws,4,3,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,2026-06-26 01:46:47
CLUSTER-000039,CGS-000071,d2dcf74e5e68bf43b6a1dc68fb6e38b6e602a6e300f83aa0063d0afdc4fabd79,Socket Head Cap Screws,2,1,3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.,2026-06-26 01:46:47
CLUSTER-000040,CGS-000072,71cf9a343aca2a9634393a52ef89943af559c7854b2412315f04532359139fc8,Socket Head Cap Screws,2,1,CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT SUBMISSION N/A 133.2 0 1 0 N/A N/A 16 REMARKS 1.,2026-06-26 01:46:47
CLUSTER-000041,CGS-000088,6c1df6a0cafa176e63112d1facc17815adf1725a7ae37faedb4aa34bd53ee7b4,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,2,1,The delivery price shall be included in the total price of the contract.,2026-06-26 01:46:47
CLUSTER-000042,CGS-000095,29e95dd06638c8d81e0d216bc04b31e840ca5d4dd432c0c5f9ea2fbc4bfe0220,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,2,1,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position",2026-06-26 01:46:47
CLUSTER-000043,CGS-000104,9e0f609856f9aaae1ccec44d5819cc25cfbda0ea25266e7479602b4092de740a,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,3,2,"A - Statement of work B - Cemetery Operational Standards C - Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice.",2026-06-26 01:46:47
CLUSTER-000044,CGS-000105,9345f89067aedcae60c8dee2bbf147fe67d199186ceb095520c650f2942b2c34,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,2,1,"quotes are being requested, and a written solicitation will not be issued.",2026-06-26 01:46:47
CLUSTER-000045,CGS-000118,88870fb5bcbfd0e3976fa2bb0be23a2aa5bb41d52e1f82aea488c3fe00d1fe6a,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,2,1,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB ___ ___ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:,2026-06-26 01:46:47
CLUSTER-000046,CGS-000152,fc9eb696e6fcdf3176e5800c48b617aa499e0d80a9f89481e00c3c18980f2bc8,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,5,4,"(a) By completing Items 8 and 15, and returning ___1_ ___ copies of the amendment;",2026-06-26 01:46:47
CLUSTER-000047,CGS-000166,6216a54943329d7dd931b7499669e2e9825c5f533e34bd51ead595c202401c46,"USAG DHR, Fort Bragg ID Card Services",2,1,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",2026-06-26 01:46:47
CLUSTER-000048,CGS-000170,c895c1cd00d125bf2e2188c553125de7137f2d99f0d2137682278c840a29b593,6515--NetApp,2,1,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.,2026-06-26 01:46:47
CLUSTER-000049,CGS-000172,2b1b20d0c38f879e7503addefb32fb6c1afdf918048ce32b9241099d0ea19226,6515--NetApp,2,1,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION Amendment to change quantity on Clin #15 from 48 to 64 Amendment to include RFQ answers Question 1 -0015 (UCS-DDR5-BLK):,2026-06-26 01:46:47
CLUSTER-000050,CGS-000174,11eb60542db4f8ba7f52aed94c3b67f09f8e0bfb94335bdaed2bb18768cc0961,6515--NetApp,2,1,Please confirm which quantity governs for quoting and contract performance-64 per the SOW or 48 per the Price/Cost Schedule-and issue an amendment or written clarification before the offer due date.,2026-06-26 01:46:47
CLUSTER-000051,CGS-000179,4410bf49ba5845002233b30e34b6f4b00cb09c1f4188562434e0b7c433df1b7b,6515--NetApp,2,1,GENERAL INFORMATION PLACE OF PERFORMANCE ADDITIONAL INFORMATION DESCRIPTION SECTION B - CONTINUATION OF SF 1449 BLOCKS B.1 CONTRACT ADMINISTRATION DATA 1.,2026-06-26 01:46:47
CLUSTER-000052,CGS-000185,a5111dcf119d4f7a2918b4092d5b6e31cbdb858b3fb16dea733c83c85b58bb4e,31 CES n. 25 military gear lockers.,2,1,CONTRACT ID CODE PAGE 1 OF 2 AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT J 2.,2026-06-26 01:46:47
CLUSTER-000053,CGS-000186,a53865310710db06d408bdbac43045316c5d364f4b3ede2a1c9938218de308ec,31 CES n. 25 military gear lockers.,2,1,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:",2026-06-26 01:46:47
CLUSTER-000054,CGS-000187,8bc6b84c36a82cf838856c51f2d3bb210bc180deaf86e0e58db0441768e12af3,31 CES n. 25 military gear lockers.,2,1,AMENDMENT OF SOLICITATION NUMBER FA568226Q0014 9B.,2026-06-26 01:46:47
CLUSTER-000055,CGS-000215,fb8beca5164a486de4f2a6cd2b05b99dfc10367c78f29daa78beab30e925559e,Marketplace for Acquisition of Professional Services (MAPS),10,9,REQUISITION/PURCHASE NUMBER SEALED BID (IFB) INVITATION FOR BID NEGOTIATED (RFP) REQUEST FOR PROPOSAL 7.,2026-06-26 01:46:47
CLUSTER-000056,CGS-000216,f61c78cf9f89f29eca6e01dea553c3b15553f82575372805e8abd849030b92cf,Marketplace for Acquisition of Professional Services (MAPS),10,9,"Sealed offers in original and copies for furnishings the supplies or services in the Schedule will be received at the place specified in item 8, or if hand carried, in the depository located in until local time (Hour) (Date) CAUTION - LATE Submissions, Modifications, and Withdrawals:",2026-06-26 01:46:47
CLUSTER-000057,CGS-000217,9bb90d0634e761ac964878b9c9d9f4c60ffb37e8b5a178f5165d1f9eda2c45b6,Marketplace for Acquisition of Professional Services (MAPS),20,19,"TABLE OF CONTENTS (X) SECTION DESCRIPTION PAGE(S) (X) SECTION DESCRIPTION PAGE(S) PART I - THE SCHEDULE PART II - CONTRACT CLAUSES A SOLICITATION/CONTRACT FORM I CONTRACT CLAUSES B SUPPLIES OR SERVICES AND PRICES/COSTS PART III - LIST OF DOCUMENTS, EXHIBITS AND OTHER ATTACHMENTS C DESCRIPTION/SPECIFICATIONS/WORK STATEMENT J LIST OF ATTACHMENTS D PACKAGING AND MARKING PART IV - REPRESENTATIONS AND INSTRUCTIONS E INSPECTION AN",2026-06-26 01:46:47
CLUSTER-000058,CGS-000218,0d7b419994f318fe3f2b802994d153e465608f232b23bfd4094062ff52e934b4,Marketplace for Acquisition of Professional Services (MAPS),2,1,"Summary of Changes - Amendment 09 - Sections L & M and Attachment 0002 Scorecard Section L - Instructions to Offerors • L.2.3.3 QP Submission Vacancy Rate, Time to Fill Rate, Schedule and Completeness:",2026-06-26 01:46:47
CLUSTER-000059,CGS-000222,727435fd58ecf31ed1ad1b89fcc05d1958bacda44355882f2a43131f51291342,Marketplace for Acquisition of Professional Services (MAPS),2,1,Appendix A Portal Instructions for Submission of MAPS Proposals Amendment 03 - 22 April 2026 Registration Instructions:,2026-06-26 01:46:47
CLUSTER-000060,CGS-000250,85cce3c7935723122f6f2c7d305b9d0f47ab683e08f716b5857b7a1c0fd2b45d,NPSC Physician Services at the NNMC,2,1,Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs.,2026-06-26 01:46:47
CLUSTER-000061,CGS-000263,08609dcf0cacff2a8498bd61765614cc9f28cd734c05bd6eed8105b39258472f,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,2,1,"Can the Government please clarify if any generator systems are included under this contract's technical scope, or if these references are administrative errors?",2026-06-26 01:46:47
CLUSTER-000062,CGS-000267,b4c9712591af8bb0499bbe26520de534486e40ba5cf3fe92e11711df0e561045,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,5,4,TABLE OF CONTENTS SECTION 1 - THE SCHEDULE  SF-1449 cover sheet  Block 20 - SCHEDULE OF SUPPLIES/SERVICES  Block 23 - UNIT PRICE  Attachment A - Statement of Work  Attachment B - Equipment List  Attachment C - Bavak Test Protocol (Specific to Bavak Speed Gate)  Attachment D - Inspection Report (Specific to Bavak Speedgate)  Attachment E - Payment Registration Form - Pesos  Attachment F - Payment Registration- USD to a bank in the United States  Attachment G - Payment Registration- USD to a bank in Mexico  Attachment H - Vendor Portal Registration  Attachment I - Safety Plan SECTION 2 - CONTRACT CLAUSES  Contract Clauses  Addendum to Contract Clauses - FAR and DOSAR Clauses not Prescribed in Part 12 SECTION 3 - SOLICITATION PROVISIONS  Solicitation Provisions  Addendum to Solicitation Provisions - FAR and DOSAR Provisions not Prescribed in Part 12 SECTION 4 - EVALUATION FACTORS  Evaluation Factors  Addendum to Evaluation Factors - FAR and DOSAR Provisions not Prescribed in Part 12 SECTION 5 - REPRESENTATIONS AND CERTIFICATIONS  Addendum to Offeror Representations and Certifications - FAR and DOSAR Provisions not Prescribed in Part 12 SBU - CONTRACTING AND ACQUISITIONS SECTION 1 - THE SCHEDULE CONTINUATION TO SF-1449 RFQ NUMBER 19MX5326Q0043 Block 20 - SCHEDULE OF SUPPLIES/SERVICES 1 DESCRIPTION The U.S.,2026-06-26 01:46:47
CLUSTER-000063,CGS-000275,7b263ba0b40790582a1b981486dbbc08047918f8f1b3021cbef0f6a3b1e2d6c3,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,5,4,"Volume Title  Completed and executed SF-1449 cover sheet (Blocks 17a, 18a, 19, 20, and 23)  Completed Attachment E, F, or G - Payment Registration Form (as applicable based on Section 1.4) I  Completed Section 5 - Representations and Certifications  SAM Unique Entity ID (UEI)  CAGE/NCAGE Code  Evidence of active registration in SAM.gov  Vendor Portal Registration (Attachment H)  Completed Block 23 - Unit Price (Section 1, pages 13-15) showing:",2026-06-26 01:46:47
CLUSTER-000064,CGS-000277,a7a587b6b76accb6e76be5f01d0df014d3c9d3d332c0f1b135d4226507dbcb0f,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,3,2,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1 2 2.,2026-06-26 01:46:47
CLUSTER-000065,CGS-000306,ef9032c2f24003872bde28db9440636898983260922caf7d0bb1cf7cf38a727f,N--George Washington Birthplace National Monument- RE,2,1,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.,2026-06-26 01:46:47
CLUSTER-000066,CGS-000313,912be6fa5feeb37fd25a7fc39b532083fd6f3154c7c4f88428c9695c6c17fa5b,N--George Washington Birthplace National Monument- RE,3,2,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.The hour and date specified for receipt of Offers is extended.,2026-06-26 01:46:47
CLUSTER-000067,CGS-000323,a6e70fcc7bc4ba4777ca5258b59734d2b700cf03a0a0017253df222118aff7b2,EcoStruxure Panel Server Advanced (EnerlinX Series),3,2,"PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below.",2026-06-26 01:46:47
CLUSTER-000068,CGS-000324,26b61a4cf953052b1830c6a89225f6ba8dbb656280d556953e821ca79f1c806a,EcoStruxure Panel Server Advanced (EnerlinX Series),4,3,"An award will be made based on the lowest priced, technically acceptable proposal.",2026-06-26 01:46:47
CLUSTER-000069,CGS-000325,c87dfb7d0d552c98cb01ce3a69a56541dd240e170e2f3aba2248942bac70181d,EcoStruxure Panel Server Advanced (EnerlinX Series),4,3,Firm Fixed Price Small Business Set-Aside:,2026-06-26 01:46:47
CLUSTER-000070,CGS-000327,e4782effed54c67841605121628d78ad9e862dda6aa1ab2883ec0d46e75e612d,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,Please provide the following documents in response to this proposal:,2026-06-26 01:46:47
CLUSTER-000071,CGS-000328,b2300e83fb9fd333e5eef80a280e2baff526c33bb4d7135a76bc35cc13abc3c9,EcoStruxure Panel Server Advanced (EnerlinX Series),6,5,A firm fixed price quote with your proposed delivery schedule.,2026-06-26 01:46:47
CLUSTER-000072,CGS-000330,c0fb095baabae049928fb12290b341406dd7f143aa4732049d93772d3a04630e,EcoStruxure Panel Server Advanced (EnerlinX Series),4,3,Attachment C- RFP481393 Vendor Name Quote Number Date Line ItemItem Description Part Number Manufacturer Quantity Unit Price Total Price Lead Time Country of Origin 1EcoStruxure Panel Server Advanced (EnerlinX Series) or domestic equivalent PAS800L-ESX Schneider Electric 41 Total,2026-06-26 01:46:47
CLUSTER-000073,CGS-000331,b05e6089b08f5c56073d22c5747c80b404286ca7045098e40ff522a592b11751,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,REPRESENTATIONS AND CERTIFICATIONS - ABBREVIATED Offeror (legal business name):,2026-06-26 01:46:47
CLUSTER-000074,CGS-000332,3b94632420a045dc5c156ba0ae934e536ab89ffd7883d27bcaa44603104bf754,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,You are required to register in SAM (System for Award Management) and to maintain your registration annually.,2026-06-26 01:46:47
CLUSTER-000075,CGS-000333,986bcb26c2df544e7c4ac6cbb9e79ebb281200d055a3462f14d7710b69a9012d,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,"If the items are Trigger List items, provide the following information:",2026-06-26 01:46:47
CLUSTER-000076,CGS-000334,ea193cd2ac9278e9e82063508320fdc1b6ee18990ae4b0caf3ff240b5645bc08,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,"In the event of a conflict between the version or date of a clause set forth in this document and the version or date of a clause set forth in the identified Terms and Condition, the version or date of the clauses set forth in this document shall take precedence.",2026-06-26 01:46:47
CLUSTER-000077,CGS-000335,8b99a10ffa0805e84a2bc281746bd070a42c489d1a0356a84e3ed5c6aff32898,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,"This document includes clauses that flow-down ORNL's mandatory US Government regulatory and customer obligations as defined in its contract with DOE to manage and operate Oak Ridge National Laboratory, Contract No.",2026-06-26 01:46:47
CLUSTER-000078,CGS-000336,970633c8488bc0e0a1dfefb1d38a5e34fb67b4f4ac83f7387c082aedf8e799a8,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,"To the extent that any clause included in this document is inapplicable to the performance of this contract, the parties shall consider such clauses to be self-deleting and shall not impose any obligations upon the Seller.",2026-06-26 01:46:47
CLUSTER-000079,CGS-000337,0fe49c055a773b5974c6cff6c912da967230c664394969ec376f8732db78f510,EcoStruxure Panel Server Advanced (EnerlinX Series),2,1,"""Government"" shall mean Company and/or Government;",2026-06-26 01:46:47
