supplier_master_id,supplier_master_name,supplier_master_match_status,contract_number,reference_number,title,buyer_department,procurement_category,award_date,contract_start_date,clean_contract_end_date,days_until_end,clean_contract_value,quality_tier,opportunity_score,_value,_days
SUPBE0942CD2343,Heddle Marine Service Inc,review_multiple_stripped_name_matches_best_count,F7049-200041/001/MD,F7049-200041/001/MD,HEDDLE MARINE SERVICE INC (F7049-200041/001/MD~002),Fisheries and Oceans Canada,Services and Goods,2022-10-27,,2026-06-28,11,139277825.0,gold,139.28,139277825.0,11
SUPNAME1800D2341480,PWC / PRICEWATERHOUSECOOPERS,low_synthetic_name_only,G9292-188396/001/XE,G9292-188396/001/XE,"PRICEWATERHOUSECOOPERS LLP, ESIT CANADA ENTERPRISE SERVICES CO ESIT CANADA SERVICES AUX ENTREPRISES CIE, IN JOINT VENTURE (G9292-188396/001/XE~000)",Employment and Social Development Canada,Services,2017-12-29,,2026-12-28,194,131620048.0,gold,131.62,131620048.0,194
SUPCDE658A4CA9A,General Electric Canada,review_multiple_stripped_name_matches_best_count,W8482-183029/001/FX,W8482-183029/001/FX,GENERAL ELECTRIC CANADA (W8482-183029/001/FX~000),Department of National Defence,Services and Goods,2021-07-22,,2026-11-01,137,115000000.0,gold,115.0,115000000.0,137
SUPFD308689E003,Gec Aviation Inc,medium_unique_stripped_name,W8482-183029/001/FX,W8482-183029/001/FX,GEC AVIATION INC (W8482-183029/001/FX~S01),Department of National Defence,Services and Goods,2021-07-22,,2026-11-01,137,115000000.0,gold,115.0,115000000.0,137
SUPE3C0F2C17510,Accenture,high_exact_master_name,CW2269178,CW2269178,Client Experience Platform in support of the Digital Platform Modernization Phase 3,"Immigration, Refugees and Citizenship Canada",Services,2023-07-14,2023-07-14,2026-07-13,26,113105390.47,gold,113.11,113105390.47,26
SUP154844C1DB6A,"Pcl Constructors West Coast Inc., Pcl Constructors Canada Inc., In Joint Venture",medium_unique_stripped_name,EP751-202923/001/FE,EP751-202923/001/FE,EP751-202923 - Western Sidney Centre for Plant CM Contract,Public Services and Procurement Canada,Services,2020-10-19,2020-10-19,2027-03-31,287,101851571.62,gold,101.85,101851571.62,287
SUPC85D4AE8F1D4,Zeidler Architecture,high_exact_master_name,CW2252983,CW2252983,Block 2 Architectural and Engineering Services,Public Services and Procurement Canada,Services,2023-05-05,2023-05-05,2026-12-31,197,101621997.35,gold,101.62,101621997.35,197
SUPF0D2389FDD25,Pomerleau Inc,review_multiple_stripped_name_matches_best_count,CW2322936,CW2322936,Block 2 - Construction Management Services,Public Services and Procurement Canada,Services,2023-12-22,2023-12-22,2026-09-30,105,92208898.17,gold,92.21,92208898.17,105
SUP3F0E61A1C3EC,Vfs Global,review_multiple_stripped_name_matches_best_count,B8694-150140/005/XQ,B8694-150140/005/XQ,VAC GLOBAL CONTRACT - Region 5,Public Services and Procurement Canada,Services,2018-02-22,2018-02-22,2026-10-31,136,88406243.0,gold,88.41,88406243.0,136
SUP3F0E61A1C3EC,Vfs Global,review_multiple_stripped_name_matches_best_count,B8694-150140/006/XQ,B8694-150140/006/XQ,VAC GLOBAL CONTRACT - Region 6,Public Services and Procurement Canada,Services,2018-02-22,2018-02-22,2026-10-31,136,84657414.0,gold,84.66,84657414.0,136
SUPE3C0F2C17510,Accenture,high_exact_master_name,CW2375337,CW2375337,Digital Platform Modernization Phase 3,"Immigration, Refugees and Citizenship Canada",Services,2024-09-19,2024-09-19,2026-09-18,93,82151471.81,gold,82.15,82151471.81,93
SUP7B84075EAE4B,L3HARRIS Mas,high_exact_master_name,W8485-226632/001/BY,W8485-226632/001/BY,W8485-226632 - CT-114 Repair and Overhaul (Military),Department of National Defence,Services,2022-03-24,2022-03-24,2027-03-31,287,78706802.0,gold,78.71,78706802.0,287
SUP499D7CAC4BA0,Sanexen Environmental Services Inc.,medium_unique_stripped_name,EW699-220778/001/NCS,EW699-220778/001/NCS,Amend 000 - Northern Contaminated Site Environmental Clean-up Work-Services - Sanexen Services Environnementaux inc.,Public Services and Procurement Canada,Services,2022-11-30,2022-11-30,2027-03-15,271,72448172.66,gold,72.45,72448172.66,271
SUPE3C0F2C17510,Accenture,high_exact_master_name,21120-227032/001/ZM,21120-227032/001/ZM,ACCENTURE (21120-227032/001/ZM~000),Correctional Service of Canada,Services,2023-10-20,,2026-10-19,124,72255723.06,gold,72.26,72255723.06,124
SUPE3C0F2C17510,Accenture,high_exact_master_name,21120-227032/001/ZM,21120-227032/001/ZM,21120-227032-001-ZM System Integration and Digital Support Services,Correctional Service of Canada,Services,2023-10-20,2023-10-20,2026-10-19,124,72255723.06,gold,72.26,72255723.06,124
SUP50328E233FE0,United States Department OF The Navy (navsea),medium_unique_stripped_name,W8483-07WF04/001/USW,W8483-07WF04/001/USW,UNITED STATES DEPARTMENT OF THE NAVY (NAVSEA) (W8483-07WF04/001/USW~001),Department of National Defence,Goods,,,2027-05-28,345,70090126.0,gold,70.09,70090126.0,345
SUPC6324F3066CF,Ford Of Canada,medium_unique_stripped_name,CW2417545,CW2417545,2025-2026 Light Duty Vehicles Standing Offer - ford,Public Services and Procurement Canada,Goods,2025-09-01,2025-09-01,2026-08-31,75,70000000.0,gold,70.0,70000000.0,75
SUPCA8B43B9596F,Rohde And Schwarz,high_exact_master_name,CW2325379,CW2325379,UT829-211521 Spectrum Monitoring and Analysis System,"Innovation, Science and Economic Development Canada",Goods,2025-09-04,2025-09-04,2026-09-03,78,67256920.01,gold,67.26,67256920.01,78
SUP8DFFA4F6A3D4,Pylon Electronics Inc,review_multiple_stripped_name_matches_best_count,W8486-184754/001/HN,W8486-184754/001/HN,Amend 081 - DND-CAF Calibration Programme ISS - Pylon Electronics Inc.,Department of National Defence,Services,2020-04-23,2020-05-01,2027-04-30,317,66823490.45,gold,66.82,66823490.45,317
SUP01A9B05B0E98,Glaxosmithkline Inc,review_multiple_stripped_name_matches_best_count,CW2355560,CW2355560,"MMR, MMRV and Varicella vaccins",Public Services and Procurement Canada,Goods,2024-03-25,2024-04-01,2027-03-31,287,66055588.86,gold,66.06,66055588.86,287
SUP0FE393F45522,Chantier Naval Forillon,high_exact_master_name,F7013-220306/001/MC,F7013-220306/001/MC,CHANTIER NAVAL FORILLON INC (F7013-220306/001/MC~000),Fisheries and Oceans Canada,Goods,2023-10-18,,2026-11-01,137,63758266.0,gold,63.76,63758266.0,137
SUP0FE393F45522,Chantier Naval Forillon,high_exact_master_name,F7013-220306/001/MC,F7013-220306/001/MC,CHANTIER NAVAL FORILLON INC (F7013-220306/001/MC~001),Fisheries and Oceans Canada,Goods,2023-10-18,,2026-11-01,137,63758266.0,gold,63.76,63758266.0,137
SUP30A7E198D03D,LE Groupe Harnois Inc,review_multiple_stripped_name_matches_best_count,CW2395414,CW2395414,E60HL-250052 Bulk Aviation 2025-2027,Public Services and Procurement Canada,Goods,2025-03-07,2025-04-01,2027-03-31,287,62105332.8,gold,62.11,62105332.8,287
SUP481F3C032A85,Cbn,review_multiple_stripped_name_matches_best_count,B8297-200035/001/CW,B8297-200035/001/CW,"Security Printing, Paper Documents including bonds","Immigration, Refugees and Citizenship Canada",Services,2020-05-04,2020-05-04,2026-06-30,13,61124570.95,gold,61.12,61124570.95,13
SUP7F22E6C1D298,Calian Ltd.,medium_unique_normalized_name,W0113-18CS40/001/TOR,W0113-18CS40/001/TOR,"Amend 001 - Educational Services, N.E.S. - Calian Ltd.",Department of National Defence,Services,2020-04-20,2020-04-20,2026-07-31,44,60116725.46,gold,60.12,60116725.46,44
SUPFD1582C8285E,Ebc Inc,review_multiple_stripped_name_matches_best_count,EP938-230188/001/FE,EP938-230188/001/FE,Amend 002 - Gerance de construction RAFF M50 - EBC inc.,Public Services and Procurement Canada,Services,2022-08-12,2022-08-12,2026-06-30,13,59999000.0,gold,60.0,59999000.0,13
SUPC680046889CE,Arup Canada Inc,review_multiple_stripped_name_matches_best_count,CW2304624,CW2304624,Technical Advisor in support of the Alexandra Bridge Replacement Project,Public Services and Procurement Canada,Services,2023-05-05,2023-05-05,2027-03-31,287,59645049.43,gold,59.65,59645049.43,287
SUPD5A731EAFEB9,Raytheon Canada Ltd,review_multiple_stripped_name_matches_best_count,W8472-125389/001/QF,W8472-125389/001/QF,RAYTHEON CANADA LTD (W8472-125389/001/QF~013),Department of National Defence,Goods,2016-01-14,,2027-03-31,287,59553981.04,gold,59.55,59553981.04,287
SUPD5A731EAFEB9,Raytheon Canada Ltd,review_multiple_stripped_name_matches_best_count,W8472-125389/001/QF,W8472-125389/001/QF,W8473-125389-001 Naval Remote Weapon Station Acquisition,Department of National Defence,Goods,2016-01-14,2016-01-14,2027-03-31,287,59553981.04,gold,59.55,59553981.04,287
SUP3F0E61A1C3EC,Vfs Global,review_multiple_stripped_name_matches_best_count,B8694-150140/004/XQ,B8694-150140/004/XQ,VAC GLOBAL CONTRACT - Region 4,Public Services and Procurement Canada,Services,2018-02-22,2018-02-22,2026-10-31,136,57658592.0,gold,57.66,57658592.0,136
SUPA158C97E2B28,Baxters Canada Inc,review_multiple_stripped_name_matches_best_count,W8486-23SP0A/001/PD,W8486-23SP0A/001/PD,W8486-23SP0A.001.PD BCI Food_ Retort Food,Department of National Defence,Goods,2022-06-03,2022-06-03,2027-03-31,287,57640358.88,gold,57.64,57640358.88,287
SUP7EB15268CEF2,IBM Canada Ltd,review_multiple_stripped_name_matches_best_count,CW2247522,CW2247522,In-Service Support for the Defence Resource Information Management System (DRMIS),Department of National Defence,Services,2022-11-15,2022-11-15,2026-11-14,150,56500000.0,gold,56.5,56500000.0,150
SUPDBF9B067E3FF,General Motors OF Canada Ltd,review_multiple_stripped_name_matches_best_count,CW2417548,CW2417548,2025-2026 Light Duty Vehicles Standing Offer - GM,Public Services and Procurement Canada,Goods,2025-09-01,2025-09-01,2026-08-31,75,56000000.0,gold,56.0,56000000.0,75
SUP1885F7041FC9,D/b/a Emergent Biosolutions,review_multiple_stripped_name_matches_best_count,CW2237423,CW2237423,Anthrasil,Department of National Defence,Goods,2022-10-18,2022-10-19,2027-03-31,287,55974543.64,gold,55.97,55974543.64,287
SUPB045E9EFA98D,Demathieu Bard Construction Inc,medium_unique_stripped_name,EH990-212186/001/FG,EH990-212186/001/FG,Amend 008 - Construction Management Services - CONSTRUCTION DEMATHIEU and BARD (CDB) INC,Public Services and Procurement Canada,Services,2021-06-07,2025-06-03,2026-12-29,195,53262060.86,gold,53.26,53262060.86,195
SUP80FA65D90825,"Harris Corporation, RF Communications Division",review_multiple_stripped_name_matches_best_count,CW2389938,CW2389938,Two-channel Tactical Radios,Department of National Defence,Goods,2022-06-10,2025-05-28,2026-11-30,166,52110720.0,gold,52.11,52110720.0,166
SUP2B408B8318EF,MDA Geospatial Services,high_exact_master_name,CW2303005,CW2303005,Amend 003 - RISO - W1786-235232 - Commercial RADARSAT Satellite Product.,Department of National Defence,Services,2023-05-15,2023-05-15,2027-05-14,331,51738750.0,gold,51.74,51738750.0,331
SUPE1DBC201AF44,Industries Ocean Inc,medium_unique_stripped_name,F7049-200157/001/MD,F7049-200157/001/MD,INDUSTRIES OCEAN INC (F7049-200157/001/MD~000),Fisheries and Oceans Canada,Services and Goods,2024-01-31,,2026-10-28,133,51720096.21,gold,51.72,51720096.21,133
SUP9B80BCF25FF1,Sca-shipping Consultants Associated Ltd,review_multiple_stripped_name_matches_best_count,W0103-214486/002/VIC,W0103-214486/002/VIC,W0103-214486 Deployed Logistics Services,Department of National Defence,Services,2021-10-08,2021-10-08,2026-07-31,44,50000000.0,gold,50.0,50000000.0,44
SUPF76691044436,Weatherhaven Brockville,high_exact_master_name,W8486-173450/001/HL,W8486-173450/001/HL,Amend 018 - Repair and Overhaul MECC and Soft Wall - WEATHERHAVEN GLOBAL RESOURCES LTD.,Department of National Defence,Goods,2017-01-03,2017-01-03,2026-12-31,197,49681775.68,gold,49.68,49681775.68,197
SUP7120B6DB076A,Canadensys Aerospace Corporation,review_multiple_stripped_name_matches_best_count,9F052-200303/003/ST,9F052-200303/003/ST,CANADENSYS AEROSPACE CORPORATION (9F052-200303/003/ST~000),Canadian Space Agency,Services,2022-11-10,,2027-03-31,287,49496613.33,gold,49.5,49496613.33,287
SUP7120B6DB076A,Canadensys Aerospace Corporation,review_multiple_stripped_name_matches_best_count,9F052-200303/003/ST,9F052-200303/003/ST,"Amend 001 - LEAP Lunar Rover Phase B, C and D - Canadensys Aerospace Corporation",Canadian Space Agency,Services,2022-11-10,2022-11-10,2027-03-31,287,49496613.33,gold,49.5,49496613.33,287
SUPD90B395403EC,ST Johns Dockyard Ltd,review_multiple_stripped_name_matches_best_count,F7044-221042/001/MD,F7044-221042/001/MD,CCGS Judy LaMarsh - Conversion - St John's Dockyard Limited,Fisheries and Oceans Canada,Services,2023-11-22,2023-12-08,2027-03-31,287,48511243.66,gold,48.51,48511243.66,287
SUP02937902E690,"Atco Frontec Ltd, Inuvialuit Development Corporation IN Joint-venture",medium_unique_stripped_name,W7714-228152/002/QF,W7714-228152/002/QF,"ATCO FRONTEC LTD, INUVIALUIT DEVELOPMENT CORPORATION IN JOINT-VENTURE (W7714-228152/002/QF~000)",Department of National Defence,Goods,2025-03-28,,2027-03-28,284,48401800.0,gold,48.4,48401800.0,284
SUPBEBA11758919,Man Diesel & Turbo Canada Ltd,medium_unique_stripped_name,W8482-128404/001/ML,W8482-128404/001/ML,MAN DIESEL & TURBO CANADA LTD (W8482-128404/001/ML~021),Department of National Defence,Services and Goods,2012-06-18,,2026-06-30,13,48000000.0,gold,48.0,48000000.0,13
SUPD8366ACC75FD,Qinetiq Plc,high_exact_master_name,W8482-229110/001/QD,W8482-229110/001/QD,NISO for Target - QINETIQ GROUP CANADA INC.,Public Services and Procurement Canada,Goods,2022-05-26,2022-05-26,2027-03-31,287,47967583.0,gold,47.97,47967583.0,287
SUP02386B6ECAAB,United States Department OF The Air Force (afsac),medium_unique_stripped_name,W8485-174097/001/USW,W8485-174097/001/USW,UNITED STATES DEPARTMENT OF THE AIR FORCE (AFSAC) (W8485-174097/001/USW~002),Department of National Defence,Goods,2017-04-17,,2026-06-21,4,47560563.0,gold,47.56,47560563.0,4
SUPE1FE625D6982,Maxim 2000 Inc,review_multiple_stripped_name_matches_best_count,CW2371701,CW2371701,EB144-242103 - ITT Bedford Institute of Oceanography - Murray Building Renovations,Public Services and Procurement Canada,Services,2024-08-16,2024-08-16,2027-02-15,243,46748504.8,gold,46.75,46748504.8,243
SUPA08543589449,TT Visa Services Ltd,review_multiple_stripped_name_matches_best_count,B8694-150140/003/XQ,B8694-150140/003/XQ,VAC GLOBAL CONTRACT - Region 3,Public Services and Procurement Canada,Services,2018-02-27,2018-02-27,2026-10-31,136,45944280.0,gold,45.94,45944280.0,136
SUP5F092BC32FF4,Kraken Sonar Systems Inc,medium_unique_stripped_name,W8472-105270/001/QF,W8472-105270/001/QF,KRAKEN SONAR SYSTEMS INC (W8472-105270/001/QF~000),Department of National Defence,Goods,2022-11-30,,2026-12-01,167,45843622.0,gold,45.84,45843622.0,167
SUP9D71C34A1915,Kraken Robotics,high_exact_master_name,W8472-105270/001/QF,W8472-105270/001/QF,Amend 001 - Remote Minehunting and Disposal Sys - Kraken Robotic Systems Inc.,Department of National Defence,Goods,2022-11-30,2022-11-30,2026-12-01,167,45843622.0,gold,45.84,45843622.0,167
SUP2710AB928F45,"Elusys Therapeutics, Incorporated",review_multiple_stripped_name_matches_best_count,CW2345880,CW2345880,Anthim,Public Health Agency of Canada,Goods,2024-01-26,2024-01-26,2027-03-31,287,45712664.4,gold,45.71,45712664.4,287
SUP211329D06C1A,Landmark Solutions Ltd.,medium_unique_stripped_name,CW2237621,CW2237621,5P423-220141 - Parks Canada Agency - Caribou Conservation Breeding Facility,Parks Canada Agency (PC),Services,2023-02-28,2023-02-28,2026-07-31,44,45460913.96,gold,45.46,45460913.96,44
SUPA76FA65F97B8,Imp Group Ltd - Aerospace Division,medium_unique_stripped_name,W8485-114151/001/BB,W8485-114151/001/BB,IMP GROUP LTD - AEROSPACE DIVISION (W8485-114151/001/BB~019),Department of National Defence,Goods,2012-02-17,,2027-03-31,287,45000000.0,gold,45.0,45000000.0,287
SUPA76FA65F97B8,Imp Group Ltd - Aerospace Division,review_multiple_stripped_name_matches_best_count,W8485-114151/001/BB,W8485-114151/001/BB,Amend 020 - Maintenance Services - TUTOR,Department of National Defence,Services,2012-02-17,2012-02-17,2027-03-31,287,45000000.0,gold,45.0,45000000.0,287
SUPD90B395403EC,ST Johns Dockyard Ltd,review_multiple_stripped_name_matches_best_count,F7049-210183/001/MD,F7049-210183/001/MD,Amend 013 - CCGS Leonard J Cowley VLE - St John's Dockyard Limited,Fisheries and Oceans Canada,Goods,2023-04-18,2023-04-18,2026-07-31,44,43272895.44,gold,43.27,43272895.44,44
SUPD90B395403EC,ST Johns Dockyard Ltd,review_multiple_stripped_name_matches_best_count,F7049-210183/001/MD,F7049-210183/001/MD,Amend 015 - CCGS Leonard J Cowley VLE - St John's Dockyard Limited,Fisheries and Oceans Canada,Goods,2023-04-18,2023-04-18,2026-12-28,194,43272895.44,gold,43.27,43272895.44,194
SUPAABAD6F923A3,Ontario Shipyards,high_exact_master_name,F7049-200083/001/MD,F7049-200083/001/MD,Amend 016- CCGS GeorgeR. Pearkes - Vessel Li - Ontario Shipyards Inc.,Fisheries and Oceans Canada,Services,2022-07-27,2022-07-27,2027-03-31,287,41881917.6,gold,41.88,41881917.6,287
SUPC48211C1555F,1576254 Ontario Inc,medium_unique_normalized_name,CW2366462,CW2366462,"Whitby, Ontario. Whitby Harbor Sediment Remediation. Management Project",Public Services and Procurement Canada,Services,2024-10-21,2024-10-21,2026-08-28,72,41801645.16,gold,41.8,41801645.16,72
SUP9B12818D62E0,Chantier Davie Canada Inc,review_multiple_stripped_name_matches_best_count,F7013-210307/001/MB,F7013-210307/001/MB,F7013-210307 001NQ - PIB Ancillary Contract,Public Services and Procurement Canada,Services,2024-03-26,2024-03-26,2027-03-26,282,40241250.0,gold,40.24,40241250.0,282
SUP69D67163A18A,Daimler Truck AG,high_exact_master_name,W8486-163022/001/BL,W8486-163022/001/BL,Amend 017 - STANDING OFFER - AHSVS - SPARE PTS - Daimler Truck AG,Public Services and Procurement Canada,Goods,2017-08-17,2017-08-17,2027-02-14,242,39623822.35,gold,39.62,39623822.35,242
SUPA3E0CEAF4569,"Zodiac Hurricane Technologies, Inc",review_multiple_stripped_name_matches_best_count,W8472-155557/001/MC,W8472-155557/001/MC,ZODIAC HURRICANE TECHNOLOGIES INC (W8472-155557/001/MC~000),Department of National Defence,Goods,2020-03-21,,2026-12-31,197,39293153.79,gold,39.29,39293153.79,197
SUPA76A90C9B33E,Garda Canada Security Corporation,review_multiple_stripped_name_matches_best_count,CW2385572,CW2385572,47419-263786_Enhanced Guards Services at the Laval Immigration Holding Centre,Canada Border Services Agency (CBSA),Services,2025-03-21,2025-04-01,2026-07-31,44,39133505.59,gold,39.13,39133505.59,44
