edge_analytics_id,edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relationship_type,confidence,source_degree,target_degree,bridge_score,bridge_band,created_at
GEDGEANA-000035,KGEDGE-000035,KGNODE2-000011,Food and Drug Administration,KGNODE2-000012,Solicitation Number,uses_acquisition_method,0.66,7,4,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000036,KGEDGE-000036,KGNODE2-000011,Food and Drug Administration,KGNODE2-000017,Request for Information,uses_acquisition_method,0.66,7,4,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000037,KGEDGE-000037,KGNODE2-000011,Food and Drug Administration,KGNODE2-000020,Combined Synopsis Solicitation,uses_acquisition_method,0.66,7,4,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000038,KGEDGE-000038,KGNODE2-000011,Food and Drug Administration,KGNODE2-000023,Method of Solicitation,uses_acquisition_method,0.66,7,4,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000039,KGEDGE-000039,KGNODE2-000011,Food and Drug Administration,KGNODE2-000024,Request for Proposal,uses_acquisition_method,0.66,7,4,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000040,KGEDGE-000040,KGNODE2-000011,Food and Drug Administration,KGNODE2-000028,Request for Quotation,uses_acquisition_method,0.66,7,4,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000041,KGEDGE-000041,KGNODE2-000011,Food and Drug Administration,KGNODE2-000002,National Cemetery Operations,has_domain_requirement,0.66,7,3,0.5556,medium,2026-07-01 20:51:37
GEDGEANA-000042,KGEDGE-000042,KGNODE2-000007,Marine Corps Base Camp Lejeune,KGNODE2-000022,Place of Performance,may_define_place_of_performance,0.62,1,5,0.3333,low,2026-07-01 20:51:37
GEDGEANA-000043,KGEDGE-000043,KGNODE2-000006,Award Basis,KGNODE2-000003,Firm Fixed Price,may_result_in_contract_type,0.66,8,3,0.6111,medium,2026-07-01 20:51:37
GEDGEANA-000044,KGEDGE-000044,KGNODE2-000005,Performance Work Statement,KGNODE2-000025,Statement of Work,specializes,0.84,4,4,0.4444,medium,2026-07-01 20:51:37
