requirement_object_id,object_type,object_text,mandatory_flag,source_requirement_id,notice_id,opportunity_title,source_file,source_category,source_confidence,object_confidence
ROBJ-000011,evaluation_factor,evaluation factors. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please co,unknown,REQ-000011,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation,0.8,0.75
ROBJ-000012,evaluation_factor,"evaluation factors"", ""section m""], ""proposal_instructions"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists",unknown,REQ-000013,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation,0.85,0.75
ROBJ-000013,pricing_requirement,"clin"", ""pricing""], ""past_performance"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only f",unknown,REQ-000016,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,pricing,0.65,0.75
ROBJ-000014,experience_requirement,"recent and relevant""], ""staffing"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation fact",unknown,REQ-000017,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation,0.75,0.75
ROBJ-000015,experience_requirement,"past performance"", ""references"", ""recent and relevant""], ""staffing"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.",unknown,REQ-000017,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation,0.75,0.75
ROBJ-000016,staffing_requirement,"qualifications""], ""certifications"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluatio",unknown,REQ-000020,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.65,0.75
ROBJ-000017,certification_requirement,"fedramp""], ""security"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only",unknown,REQ-000022,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.65,0.85
ROBJ-000018,evaluation_factor,Price,unknown,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.7,0.55
ROBJ-000019,certification_requirement,Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page num,unknown,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.7,0.75
ROBJ-000020,deliverable_requirement,Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec,unknown,REQ-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.7,0.65
ROBJ-000021,evaluation_factor,"evaluation factors"", ""basis for award"", ""best value""], ""proposal_instructions"": Section II | Section III | Section IV | Section V | sectio",unknown,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.85,0.75
ROBJ-000022,evaluation_factor,"basis for award"", ""best value""], ""proposal_instructions"": Section II | Section III | Section IV | Section V | section 743 of Division E",unknown,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.85,0.75
ROBJ-000023,evaluation_factor,best value,unknown,REQ-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.85,0.55
ROBJ-000024,pricing_requirement,"firm fixed price""], ""past_performance"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of",unknown,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.8,0.65
ROBJ-000025,pricing_requirement,"unit price"", ""total price"", ""clin"", ""pricing"", ""firm fixed price""], ""past_performance"": Section II | Section III | Section IV | Se",unknown,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.8,0.65
ROBJ-000026,pricing_requirement,"clin"", ""pricing"", ""firm fixed price""], ""past_performance"": Section II | Section III | Section IV | Section V | section 743 o",unknown,REQ-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.8,0.65
ROBJ-000027,evaluation_factor,past performance,unknown,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.75,0.55
ROBJ-000028,experience_requirement,"past performance"", ""references""], ""staffing"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 16",unknown,REQ-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,evaluation,0.75,0.65
ROBJ-000029,staffing_requirement,"key personnel"", ""staffing"", ""resume"", ""qualifications""], ""certifications"": Section II | Section III | Section IV | Section V | sectio",unknown,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.65,0.65
ROBJ-000030,staffing_requirement,"resume"", ""qualifications""], ""certifications"": Section II | Section III | Section IV | Section V | section 743 of Division E |",unknown,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.65,0.65
ROBJ-000031,staffing_requirement,"qualifications""], ""certifications"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pu",unknown,REQ-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.65,0.65
ROBJ-000032,certification_requirement,"fedramp""], ""security"": Section II | Section III | Section IV | Section V | section 743 of Division E | Sect",unknown,REQ-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.65,0.75
ROBJ-000033,procurement_form_or_artifact,"sf 1449"", ""representations and certifications""], ""drawings"": Section II | Section III | Section IV | Section V | section 743 of",unknown,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.7,0.65
ROBJ-000034,procurement_form_or_artifact,"drawings"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pub. L. 115-91 | Sec",unknown,REQ-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,certification,0.7,0.65
ROBJ-000035,evaluation_factor,Price,unknown,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.7,0.55
ROBJ-000036,certification_requirement,Section 508 Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page num,unknown,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.7,0.75
ROBJ-000037,deliverable_requirement,Accessibility Conformance Report | Section B-Supplies or Services and Price | Section and refer to the Section | section or Page number. Questions | sec,unknown,REQ-000040,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.7,0.65
ROBJ-000038,evaluation_factor,"evaluation factors"", ""basis for award"", ""best value""], ""proposal_instructions"": Section II | Section III | Section IV | Section V | sectio",unknown,REQ-000045,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.85,0.75
ROBJ-000039,evaluation_factor,"basis for award"", ""best value""], ""proposal_instructions"": Section II | Section III | Section IV | Section V | section 743 of Division E",unknown,REQ-000045,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.85,0.75
ROBJ-000040,evaluation_factor,best value,unknown,REQ-000045,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.85,0.55
ROBJ-000041,pricing_requirement,"firm fixed price""], ""past_performance"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of",unknown,REQ-000048,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.8,0.65
ROBJ-000042,pricing_requirement,"unit price"", ""total price"", ""clin"", ""pricing"", ""firm fixed price""], ""past_performance"": Section II | Section III | Section IV | Se",unknown,REQ-000048,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.8,0.65
ROBJ-000043,pricing_requirement,"clin"", ""pricing"", ""firm fixed price""], ""past_performance"": Section II | Section III | Section IV | Section V | section 743 o",unknown,REQ-000048,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.8,0.65
ROBJ-000044,evaluation_factor,past performance,unknown,REQ-000050,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.75,0.55
ROBJ-000045,experience_requirement,"past performance"", ""references""], ""staffing"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 16",unknown,REQ-000050,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,evaluation,0.75,0.65
ROBJ-000046,staffing_requirement,"key personnel"", ""staffing"", ""resume"", ""qualifications""], ""certifications"": Section II | Section III | Section IV | Section V | sectio",unknown,REQ-000053,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.65,0.65
ROBJ-000047,staffing_requirement,"resume"", ""qualifications""], ""certifications"": Section II | Section III | Section IV | Section V | section 743 of Division E |",unknown,REQ-000053,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.65,0.65
ROBJ-000048,staffing_requirement,"qualifications""], ""certifications"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pu",unknown,REQ-000053,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.65,0.65
ROBJ-000049,certification_requirement,"fedramp""], ""security"": Section II | Section III | Section IV | Section V | section 743 of Division E | Sect",unknown,REQ-000055,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.65,0.75
ROBJ-000050,procurement_form_or_artifact,"sf 1449"", ""representations and certifications""], ""drawings"": Section II | Section III | Section IV | Section V | section 743 of",unknown,REQ-000056,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.7,0.65
ROBJ-000051,procurement_form_or_artifact,"drawings"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pub. L. 115-91 | Sec",unknown,REQ-000056,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,certification,0.7,0.65
ROBJ-000052,procurement_form_or_artifact,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1. section headings,unknown,REQ-000057,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,amendment,0.65,0.65
ROBJ-000053,procurement_form_or_artifact,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B. section headings,unknown,REQ-000060,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,amendment,0.65,0.65
ROBJ-000054,procurement_form_or_artifact,"amendment of solicitation"", ""modification of contract""], ""forms"": section headings",unknown,REQ-000069,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,amendment,0.65,0.65
ROBJ-000055,evaluation_factor,past performance,unknown,REQ-000070,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,evaluation,0.8,0.55
ROBJ-000056,experience_requirement,"past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",unknown,REQ-000070,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,evaluation,0.8,0.65
ROBJ-000057,procurement_form_or_artifact,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service,unknown,REQ-000072,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,amendment,0.7,0.65
ROBJ-000058,procurement_form_or_artifact,Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 | F,unknown,REQ-000072,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,amendment,0.7,0.65
ROBJ-000059,procurement_form_or_artifact,AMENDMENT OF SOLICITATION NUMBER 9B. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website M,unknown,REQ-000075,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,amendment,0.65,0.65
ROBJ-000060,evaluation_factor,past performance,unknown,REQ-000083,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,certification,0.75,0.55
ROBJ-000061,experience_requirement,"past performance"", ""references""], ""certifications"": section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective",unknown,REQ-000083,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,certification,0.75,0.65
ROBJ-000062,certification_requirement,"fedramp""], ""q_and_a"": section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective S",unknown,REQ-000086,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,certification,0.65,0.75
ROBJ-000063,procurement_form_or_artifact,"amendment of solicitation"", ""modification of contract""], ""forms"": section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selec",unknown,REQ-000089,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,amendment,0.65,0.65
ROBJ-000064,procurement_form_or_artifact,"Attachment 1 June 3 {""pricing_schedule"": Part 2 | Part 3 | Part 4 | Part 5 | Part 6 | Attachment 1 June 3",unknown,REQ-000090,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_7.bin,pricing,0.65,0.65
ROBJ-000065,pricing_requirement,"clin""], ""certifications"": Part 2 | Part 3 | Part 4 | Part 5 | Part 6 | Attachment 1 June 3",unknown,REQ-000091,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_7.bin,certification,0.65,0.65
ROBJ-000066,procurement_form_or_artifact,Attachment 1 June 3,unknown,REQ-000091,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_7.bin,certification,0.65,0.55
ROBJ-000067,evaluation_factor,best value,unknown,REQ-000097,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,evaluation,0.75,0.55
ROBJ-000068,evaluation_factor,price,unknown,REQ-000099,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,evaluation,0.75,0.55
ROBJ-000069,pricing_requirement,"firm fixed price""], ""past_performance"": Section 5 of this PWS. Required services include billeting tents | Section 5.13 Surge Requiremen",yes,REQ-000099,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,evaluation,0.75,0.8
ROBJ-000070,pricing_requirement,"clin"", ""pricing"", ""firm fixed price""], ""past_performance"": Section 5 of this PWS. Required services include billeting tents",yes,REQ-000099,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,evaluation,0.75,0.8
ROBJ-000071,staffing_requirement,"key personnel"", ""staffing"", ""resume"", ""qualifications""], ""certifications"": Section 5 of this PWS. Required services include billeting",yes,REQ-000103,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,certification,0.65,0.8
ROBJ-000072,staffing_requirement,"resume"", ""qualifications""], ""certifications"": Section 5 of this PWS. Required services include billeting tents | Section 5.13",yes,REQ-000103,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,certification,0.65,0.8
ROBJ-000073,staffing_requirement,"qualifications""], ""certifications"": Section 5 of this PWS. Required services include billeting tents | Section 5.13 Surge Requirements",yes,REQ-000103,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,certification,0.65,0.8
ROBJ-000074,evaluation_factor,past performance,unknown,REQ-000107,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,proposal_instruction,0.7,0.55
ROBJ-000075,experience_requirement,past performance experience in working other base life support,unknown,REQ-000107,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,proposal_instruction,0.7,0.65
ROBJ-000076,evaluation_factor,Price,unknown,REQ-000111,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.8,0.55
ROBJ-000077,experience_requirement,"past performance experience in working other base life support {""statement_of_work"": section that outlines your past performance experie",unknown,REQ-000111,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.8,0.65
ROBJ-000078,pricing_requirement,Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions a,unknown,REQ-000111,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.8,0.65
ROBJ-000079,pricing_requirement,FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and wi,unknown,REQ-000111,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.8,0.65
ROBJ-000080,evaluation_factor,"evaluation factors""], ""proposal_instructions"": section that outlines your past performance experience in working other base life support",unknown,REQ-000115,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.8,0.65
ROBJ-000081,deliverable_requirement,"technical plan""], ""pricing_schedule"": section that outlines your past performance experience in working other base life support",unknown,REQ-000116,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,proposal_instruction,0.75,0.65
ROBJ-000082,pricing_requirement,"firm fixed price""], ""past_performance"": section that outlines your past performance experience in working other base life support",unknown,REQ-000118,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.75,0.65
ROBJ-000083,pricing_requirement,"unit price"", ""clin"", ""firm fixed price""], ""past_performance"": section that outlines your past performance experience in working ot",unknown,REQ-000118,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.75,0.65
ROBJ-000084,pricing_requirement,"clin"", ""firm fixed price""], ""past_performance"": section that outlines your past performance experience in working other base",unknown,REQ-000118,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.75,0.65
ROBJ-000085,experience_requirement,"past performance"", ""references""], ""staffing"": section that outlines your past performance experience in working other base life support",unknown,REQ-000120,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,evaluation,0.75,0.65
ROBJ-000086,evaluation_factor,PRICE,unknown,REQ-000124,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,evaluation,0.85,0.55
ROBJ-000087,pricing_requirement,UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee Section 5.1 and all applicable sections of the Performance Work State,unknown,REQ-000124,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,evaluation,0.85,0.65
ROBJ-000088,pricing_requirement,"firm fixed price""], ""certifications"": Section 5.1 and all applicable sections of the Performance Work Statement. System Identif | sectio",unknown,REQ-000138,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,certification,0.75,0.65
ROBJ-000089,pricing_requirement,"unit price"", ""clin"", ""pricing"", ""firm fixed price""], ""certifications"": Section 5.1 and all applicable sections of the Performance",unknown,REQ-000138,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,certification,0.75,0.65
ROBJ-000090,pricing_requirement,"clin"", ""pricing"", ""firm fixed price""], ""certifications"": Section 5.1 and all applicable sections of the Performance Work Sta",unknown,REQ-000138,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,certification,0.75,0.65
ROBJ-000091,evaluation_factor,Basis for Award. part 13 | part 12 | Part 9 | Factor 1 | Factor 2 - Past Performance | Factor 3,unknown,REQ-000141,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.85,0.75
ROBJ-000092,evaluation_factor,Past Performance,unknown,REQ-000141,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.85,0.55
ROBJ-000093,experience_requirement,Past Performance | Factor 3,unknown,REQ-000141,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.85,0.55
ROBJ-000094,evaluation_factor,price,unknown,REQ-000142,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.8,0.55
ROBJ-000095,evaluation_factor,Lowest Price Technically Acceptable,unknown,REQ-000143,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.8,0.55
ROBJ-000096,evaluation_factor,best value,unknown,REQ-000143,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.8,0.55
ROBJ-000097,evaluation_factor,Technical Capability,unknown,REQ-000143,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.8,0.55
ROBJ-000098,experience_requirement,Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) s,unknown,REQ-000143,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation,0.8,0.65
