alias_id,candidate_alias,suggested_family,frequency,confidence,review_status,created_at
SA-000037,entry operator,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000038,general clerk,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000039,data entry operator,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000040,section 1,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000041,the offeror,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000042,as set forth,Administrative,9,0.77,pending,2026-06-27 13:28:41
SA-000043,as set forth in,Administrative,9,0.77,pending,2026-06-27 13:28:41
SA-000044,contractor shall,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000045,please provide,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000046,included in,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000047,cemetery administration,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000048,national cemetery administration,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000049,small business,Unclassified,9,0.77,pending,2026-06-27 13:28:41
SA-000050,of contract,Administrative,8,0.74,pending,2026-06-27 13:28:41
SA-000051,solicitation number,Administrative,8,0.74,pending,2026-06-27 13:28:41
SA-000052,performance of,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000053,the contractor shall,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000054,submit a,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000055,fixed price,Evaluation,8,0.74,pending,2026-06-27 13:28:41
SA-000056,a contract,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000057,additional information,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000058,follow the,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000059,clerk ii,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000060,clerk iii,Unclassified,8,0.74,pending,2026-06-27 13:28:41
SA-000061,offerors shall,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000062,past performance,Proposal,7,0.71,pending,2026-06-27 13:28:41
SA-000063,of solicitation number,Administrative,7,0.71,pending,2026-06-27 13:28:41
SA-000064,amendment of solicitation number,Administrative,7,0.71,pending,2026-06-27 13:28:41
SA-000065,the above,Administrative,7,0.71,pending,2026-06-27 13:28:41
SA-000066,for this,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000067,will not,Administrative,7,0.71,pending,2026-06-27 13:28:41
SA-000068,the contract,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000069,shall not,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000070,firm fixed,Evaluation,7,0.71,pending,2026-06-27 13:28:41
SA-000071,firm fixed price,Evaluation,7,0.71,pending,2026-06-27 13:28:41
SA-000072,to the government,Evaluation,7,0.71,pending,2026-06-27 13:28:41
SA-000073,unit price,Commercial,7,0.71,pending,2026-06-27 13:28:41
SA-000074,does not,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000075,government to,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000076,the government to,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000077,requirements 01,Commercial,7,0.71,pending,2026-06-27 13:28:41
SA-000078,camp lejeune,Unclassified,7,0.71,pending,2026-06-27 13:28:41
SA-000079,volume v,Proposal,6,0.68,pending,2026-06-27 13:28:41
SA-000080,provided in,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000081,evaluation factors,Evaluation,6,0.68,pending,2026-06-27 13:28:41
SA-000082,quote for,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000083,solicitation modification,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000084,modification of,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000085,of solicitation modification,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000086,solicitation modification of,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000087,modification of contract,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000088,amendment of solicitation modification,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000089,of solicitation modification of,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000090,solicitation modification of contract,Administrative,6,0.68,pending,2026-06-27 13:28:41
SA-000091,letter or,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000092,contracting officer,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000093,if other,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000094,other than,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000095,than item,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000096,administered by if,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000097,by if other,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000098,if other than,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000099,other than item,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000100,administered by if other,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000101,by if other than,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000102,if other than item,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000103,this is a,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000104,united states,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000105,work statement,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000106,this requirement,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000107,required to,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000108,a firm fixed,Evaluation,6,0.68,pending,2026-06-27 13:28:41
SA-000109,a firm fixed price,Evaluation,6,0.68,pending,2026-06-27 13:28:41
SA-000110,and other,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000111,synopsis solicitation,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000112,ton each,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000113,qty 1 ton,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000114,1 ton each,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000115,1 qty 1 ton,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000116,qty 1 ton each,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000117,the work,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000118,solicitation for,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000119,included in this,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000120,by the government,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000121,north carolina,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000122,the same,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000123,for proposal,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000124,table of,Metadata,6,0.68,pending,2026-06-27 13:28:41
SA-000125,of contents,Metadata,6,0.68,pending,2026-06-27 13:28:41
SA-000126,representations and,Evaluation,6,0.68,pending,2026-06-27 13:28:41
SA-000127,table of contents,Metadata,6,0.68,pending,2026-06-27 13:28:41
SA-000128,counties of,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000129,fringe benefits,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000130,benefits required,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000131,required follow,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000132,the occupational,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000133,occupational listing,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000134,listing occupation,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000135,occupation code,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000136,code title,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000137,title footnote,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000138,footnote rate,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000139,rate 01000,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000140,fringe benefits required,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000141,benefits required follow,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000142,required follow the,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000143,follow the occupational,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000144,the occupational listing,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000145,occupational listing occupation,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000146,listing occupation code,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000147,occupation code title,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000148,code title footnote,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000149,title footnote rate,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000150,footnote rate 01000,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000151,fringe benefits required follow,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000152,benefits required follow the,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000153,required follow the occupational,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000154,follow the occupational listing,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000155,the occupational listing occupation,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000156,occupational listing occupation code,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000157,listing occupation code title,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000158,occupation code title footnote,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000159,code title footnote rate,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000160,title footnote rate 01000,Unclassified,6,0.68,pending,2026-06-27 13:28:41
SA-000161,please confirm,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000162,invitation for,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000163,for quote,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000164,administered by code,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000165,solicitation is,Administrative,5,0.65,pending,2026-06-27 13:28:41
SA-000166,or electronic,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000167,letter or electronic,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000168,be submitted,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000169,of pages,Administrative,5,0.65,pending,2026-06-27 13:28:41
SA-000170,page of pages,Administrative,5,0.65,pending,2026-06-27 13:28:41
SA-000171,than item 6,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000172,item 6 code,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000173,other than item 6,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000174,than item 6 code,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000175,performance work,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000176,performance work statement,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000177,unless otherwise,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000178,within the,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000179,management and,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000180,to submit a,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000181,this solicitation,Evaluation,5,0.65,pending,2026-06-27 13:28:41
SA-000182,intends to,Administrative,5,0.65,pending,2026-06-27 13:28:41
SA-000183,to award,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000184,schedule of,Evaluation,5,0.65,pending,2026-06-27 13:28:41
SA-000185,quantity unit,Commercial,5,0.65,pending,2026-06-27 13:28:41
SA-000186,for award,Supplier Qualification,5,0.65,pending,2026-06-27 13:28:41
SA-000187,government will,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000188,the government will,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000189,be considered,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000190,submission of,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000191,general information,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000192,a request,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000193,a request for,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000194,a requirement,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000195,requirement for,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000196,a requirement for,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000197,combined synopsis,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000198,combined synopsis solicitation,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000199,can provide,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000200,shall provide,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000201,provide a,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000202,in this notice,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000203,to provide,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000204,services and,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000205,government requires,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000206,the government requires,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000207,comply with,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000208,listed in,Supplier Qualification,5,0.65,pending,2026-06-27 13:28:41
SA-000209,listed in the,Supplier Qualification,5,0.65,pending,2026-06-27 13:28:41
SA-000210,the requirement,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000211,have the,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000212,the performance,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000213,set aside,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000214,contract clauses,Evaluation,5,0.65,pending,2026-06-27 13:28:41
SA-000215,safety requirements,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000216,this document,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000217,bi folding,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000218,folding gates,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000219,bi folding gates,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000220,procedures 01,Commercial,5,0.65,pending,2026-06-27 13:28:41
SA-000221,marine corps,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000222,01000 administrative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000223,administrative support,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000224,support and,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000225,and clerical,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000226,clerical occupations,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000227,occupations 01011,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000228,01011 accounting,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000229,01012 accounting,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000230,01013 accounting,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000231,01020 administrative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000232,administrative assistant,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000233,01035 court,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000234,court reporter,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000235,01041 customer,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000236,representative i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000237,01042 customer,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000238,representative ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000239,01043 customer,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000240,representative iii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000241,01051 data,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000242,operator i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000243,01052 data,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000244,operator ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000245,01060 dispatcher,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000246,dispatcher motor,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000247,motor vehicle,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000248,01070 document,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000249,document preparation,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000250,preparation clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000251,rate 01000 administrative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000252,01000 administrative support,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000253,administrative support and,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000254,support and clerical,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000255,and clerical occupations,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000256,clerical occupations 01011,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000257,occupations 01011 accounting,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000258,01011 accounting clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000259,accounting clerk i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000260,01012 accounting clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000261,accounting clerk ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000262,01013 accounting clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000263,accounting clerk iii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000264,01020 administrative assistant,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000265,01035 court reporter,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000266,01041 customer service,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000267,service representative i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000268,01042 customer service,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000269,service representative ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000270,01043 customer service,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000271,service representative iii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000272,01051 data entry,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000273,entry operator i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000274,01052 data entry,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000275,entry operator ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000276,01060 dispatcher motor,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000277,dispatcher motor vehicle,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000278,01070 document preparation,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000279,document preparation clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000280,footnote rate 01000 administrative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000281,rate 01000 administrative support,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000282,01000 administrative support and,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000283,administrative support and clerical,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000284,support and clerical occupations,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000285,and clerical occupations 01011,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000286,clerical occupations 01011 accounting,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000287,occupations 01011 accounting clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000288,01011 accounting clerk i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000289,01012 accounting clerk ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000290,01013 accounting clerk iii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000291,01041 customer service representative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000292,customer service representative i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000293,01042 customer service representative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000294,customer service representative ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000295,01043 customer service representative,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000296,customer service representative iii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000297,01051 data entry operator,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000298,data entry operator i,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000299,01052 data entry operator,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000300,data entry operator ii,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000301,01060 dispatcher motor vehicle,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000302,01070 document preparation clerk,Unclassified,5,0.65,pending,2026-06-27 13:28:41
SA-000303,proposal volume,Proposal,4,0.62,pending,2026-06-27 13:28:41
SA-000304,reference to,Unclassified,4,0.62,pending,2026-06-27 13:28:41
SA-000305,shall submit,Unclassified,4,0.62,pending,2026-06-27 13:28:41
SA-000306,in the solicitation,Proposal,4,0.62,pending,2026-06-27 13:28:41
SA-000307,provided in the,Unclassified,4,0.62,pending,2026-06-27 13:28:41
SA-000308,unless block,Unclassified,4,0.62,pending,2026-06-27 13:28:41
SA-000309,see schedule,Unclassified,4,0.62,pending,2026-06-27 13:28:41
SA-000310,this item,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000311,item only,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000312,only applies,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000313,applies to,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000314,to amendments,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000315,amendments of,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000316,of solicitations,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000317,above numbered,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000318,numbered solicitation,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000319,is amended,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000320,amended as,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000321,this item only,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000322,item only applies,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000323,only applies to,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000324,applies to amendments,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000325,to amendments of,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000326,amendments of solicitations,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000327,the above numbered,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000328,above numbered solicitation,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000329,numbered solicitation is,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000330,solicitation is amended,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000331,is amended as,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000332,amended as set,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000333,forth in item,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000334,in item 14,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000335,this item only applies,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000336,item only applies to,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000337,only applies to amendments,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000338,applies to amendments of,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000339,to amendments of solicitations,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000340,the above numbered solicitation,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000341,above numbered solicitation is,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000342,numbered solicitation is amended,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000343,solicitation is amended as,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000344,is amended as set,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000345,amended as set forth,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000346,set forth in item,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000347,forth in item 14,Administrative,4,0.62,pending,2026-06-27 13:28:41
SA-000348,receipt of,Proposal,4,0.62,pending,2026-06-27 13:28:41
SA-000349,this amendment,Proposal,4,0.62,pending,2026-06-27 13:28:41
