candidate_value,frequency,proposed_labels,quality_score,recommendation
Tibor,2,unclassified,10,reject_candidate
Rubin,2,unclassified,10,reject_candidate
Medical,2,unclassified,10,reject_candidate
Center,2,unclassified,10,reject_candidate
Airport,2,unclassified,10,reject_candidate
Plaza,2,unclassified,10,reject_candidate
Question,2,unclassified,10,reject_candidate
Subscription,2,unclassified,10,reject_candidate
Structure,2,unclassified,10,reject_candidate
DC-MGT-IS-SAAS-ES,2,unclassified,10,reject_candidate
SaaS/CVA,2,unclassified,10,reject_candidate
Essentials,2,unclassified,10,reject_candidate
Cisco,2,unclassified,10,reject_candidate
CONS,2,unclassified,10,reject_candidate
TELECOMMUNICATIONS,2,unclassified,10,reject_candidate
Sections,2,unclassified,10,reject_candidate
Vacancy,2,unclassified,10,reject_candidate
Completeness,2,unclassified,10,reject_candidate
Proposals,2,unclassified,10,reject_candidate
Domain,2,unclassified,10,reject_candidate
Contents,2,unclassified,10,reject_candidate
Property,2,unclassified,10,reject_candidate
Extended,2,unclassified,10,reject_candidate
NPSC,2,unclassified,10,reject_candidate
Facility,2,unclassified,10,reject_candidate
Presa,2,unclassified,10,reject_candidate
Angostura,2,unclassified,10,reject_candidate
CDMX,2,unclassified,10,reject_candidate
Anti-Climb,2,unclassified,10,reject_candidate
Option,2,unclassified,10,reject_candidate
Source,2,unclassified,10,reject_candidate
Selection,2,unclassified,10,reject_candidate
Sensitive,2,unclassified,10,reject_candidate
Boston,2,unclassified,10,reject_candidate
Advanced,2,unclassified,10,reject_candidate
EnerlinX,2,unclassified,10,reject_candidate
Series,2,unclassified,10,reject_candidate
Procurement,2,unclassified,10,reject_candidate
Applicable,2,unclassified,10,reject_candidate
Battelle,2,unclassified,10,reject_candidate
SUBCONTRACTOR,2,unclassified,10,reject_candidate
Purchase,2,unclassified,10,reject_candidate
Subcontract,2,unclassified,10,reject_candidate
Marine,2,unclassified,10,reject_candidate
Structural,2,unclassified,10,reject_candidate
Package,2,unclassified,10,reject_candidate
Architectural,2,unclassified,10,reject_candidate
Street,2,unclassified,10,reject_candidate
HOSE,2,unclassified,10,reject_candidate
BIBB,2,unclassified,10,reject_candidate
ADMINISTRATIVE,2,unclassified,10,reject_candidate
Dawson,2,unclassified,10,reject_candidate
Environmental,2,unclassified,10,reject_candidate
Housing,2,unclassified,10,reject_candidate
California,2,unclassified,10,reject_candidate
Riverside,2,unclassified,10,reject_candidate
Bernardino,2,unclassified,10,reject_candidate
Douglas,2,unclassified,10,reject_candidate
Wired,2,unclassified,10,reject_candidate
Modbus,2,unclassified,10,reject_candidate
JCAS,2,unclassified,10,reject_candidate
Constitution,2,unclassified,10,reject_candidate
Issuing,3,unclassified,10,reject_candidate
YOUR,3,unclassified,10,reject_candidate
Acceptable,3,unclassified,10,reject_candidate
LPTA,3,unclassified,10,reject_candidate
Items,3,unclassified,10,reject_candidate
Value,3,unclassified,10,reject_candidate
Remove/Renovate/Replace,3,unclassified,10,reject_candidate
Records,3,unclassified,10,reject_candidate
Health,3,unclassified,10,reject_candidate
Shrine,3,unclassified,10,reject_candidate
Drive,3,unclassified,10,reject_candidate
Price/Cost,3,unclassified,10,reject_candidate
Summary,3,unclassified,10,reject_candidate
Indian,3,unclassified,10,reject_candidate
Physician,3,unclassified,10,reject_candidate
Blocks,3,unclassified,10,reject_candidate
Unique,3,unclassified,10,reject_candidate
Evidence,3,unclassified,10,reject_candidate
CLINs,3,unclassified,10,reject_candidate
Architects,3,unclassified,10,reject_candidate
Lejeune,3,unclassified,10,reject_candidate
INCH,3,unclassified,10,reject_candidate
WOOD,3,unclassified,10,reject_candidate
SPECIFICATION,3,unclassified,10,reject_candidate
Washington,3,unclassified,10,reject_candidate
Volumes,4,unclassified,10,reject_candidate
ACKNOWLEDGMENT,4,unclassified,10,reject_candidate
Telephone,4,unclassified,10,reject_candidate
Contact,4,unclassified,10,reject_candidate
Joplin,4,unclassified,10,reject_candidate
Triangle,4,unclassified,10,reject_candidate
Operational,4,unclassified,10,reject_candidate
Dignity,4,unclassified,10,reject_candidate
Excel,4,unclassified,10,reject_candidate
Notice,4,unclassified,10,reject_candidate
Irrigation,4,unclassified,10,reject_candidate
Paperwork,4,unclassified,10,reject_candidate
Reduction,4,unclassified,10,reject_candidate
Renovation,4,unclassified,10,reject_candidate
North,4,unclassified,10,reject_candidate
Carolina,4,unclassified,10,reject_candidate
Rules,4,unclassified,10,reject_candidate
Master,4,unclassified,10,reject_candidate
Patient,4,unclassified,10,reject_candidate
Index,4,unclassified,10,reject_candidate
Equipment,4,unclassified,10,reject_candidate
Protocol,4,unclassified,10,reject_candidate
Speed,4,unclassified,10,reject_candidate
Speedgate,4,unclassified,10,reject_candidate
Pesos,4,unclassified,10,reject_candidate
AREA,4,unclassified,10,reject_candidate
MORE,4,unclassified,10,reject_candidate
THAN,4,unclassified,10,reject_candidate
Hello,4,unclassified,10,reject_candidate
Poten,4,unclassified,10,reject_candidate
Ridge,4,unclassified,10,reject_candidate
Laboratory,4,unclassified,10,reject_candidate
ORNL,4,unclassified,10,reject_candidate
ItemItem,4,unclassified,10,reject_candidate
Manufacturer,4,unclassified,10,reject_candidate
Country,4,unclassified,10,reject_candidate
Origin,4,unclassified,10,reject_candidate
Panel,4,unclassified,10,reject_candidate
Schneider,4,unclassified,10,reject_candidate
Electric,4,unclassified,10,reject_candidate
Thicknesses,4,unclassified,10,reject_candidate
Terracon,4,unclassified,10,reject_candidate
Pavements,4,unclassified,10,reject_candidate
Terraco,4,unclassified,10,reject_candidate
Possible,4,unclassified,10,reject_candidate
Uncontrolled,4,unclassified,10,reject_candidate
Material,4,unclassified,10,reject_candidate
Facilities,4,unclassified,10,reject_candidate
Distress,4,unclassified,10,reject_candidate
Earthwork,4,unclassified,10,reject_candidate
Comments,4,unclassified,10,reject_candidate
Geotechnical,4,unclassified,10,reject_candidate
Characterization,4,unclassified,10,reject_candidate
Utility,4,unclassified,10,reject_candidate
Shee,5,unclassified,10,reject_candidate
Cape,5,unclassified,10,reject_candidate
Road,6,unclassified,10,reject_candidate
Rate,6,unclassified,10,reject_candidate
Heig,6,unclassified,10,reject_candidate
Line,6,unclassified,10,reject_candidate
Fill,6,unclassified,10,reject_candidate
Sand,7,unclassified,10,reject_candidate
List,7,unclassified,10,reject_candidate
ACMs,7,unclassified,10,reject_candidate
Last,7,unclassified,10,reject_candidate
Base,8,unclassified,10,reject_candidate
