supplier_master_id,supplier_master_name,match_status,contract_count,total_contract_value,example_raw_supplier_names,recommended_action,priority,review_status,decision,approved_supplier_master_id,approved_supplier_master_name,review_notes,priority_score
SUP6272EE07D936,Ebsco Canada Ltd,review_multiple_stripped_name_matches_best_count,260,100708410.35,Ebsco,review_possible_alias_merge,high,open,,,,,2700.71
SUP6C8A9947FB6B,Mckesson Canada,review_multiple_stripped_name_matches_best_count,17,2508112384.11,Mckesson,review_possible_alias_merge,medium,open,,,,,2678.11
SUP25B5B83710EA,Imperial Cleaners Ltd,review_multiple_stripped_name_matches_best_count,204,473972254.38,Imperial Cleaners,review_possible_alias_merge,high,open,,,,,2513.97
SUPC5C9D0A89B27,Dessau Inc,review_multiple_stripped_name_matches_best_count,239,115362218.0,Dessau,review_possible_alias_merge,high,open,,,,,2505.36
SUP87223FC86149,Cisco Systems Canada CO,review_multiple_stripped_name_matches_best_count,59,1902548003.0,Cisco Systems,review_possible_alias_merge,high,open,,,,,2492.55
SUP77356BB34E70,Republic Architecture Inc,review_multiple_stripped_name_matches_best_count,237,115722633.54,Republic Architecture,review_possible_alias_merge,high,open,,,,,2485.72
SUPA40E4036F558,Ekos Research Associates Inc,review_multiple_stripped_name_matches_best_count,245,26716709.32,Ekos Research Associates,review_possible_alias_merge,high,open,,,,,2476.72
SUP5C749422894D,Findlay Foods (kingston) Ltd,review_multiple_stripped_name_matches_best_count,236,81070116.0,Findlay Foods Kingston,review_possible_alias_merge,high,open,,,,,2441.07
SUPD5A731EAFEB9,Raytheon Canada Ltd,review_multiple_stripped_name_matches_best_count,72,1719309581.08,Raytheon,review_possible_alias_merge,high,open,,,,,2439.31
SUPCD4556F0DC1B,D F S Inc,review_multiple_stripped_name_matches_best_count,222,188742219.2,D F S,review_possible_alias_merge,high,open,,,,,2408.74
SUP8C19D67FB884,"Kelly Services (canada), Ltd",review_multiple_stripped_name_matches_best_count,231,59035694.0,Kelly Services,review_possible_alias_merge,high,open,,,,,2369.04
SUPADAD8E55F7E7,Life Technologies Inc,review_multiple_stripped_name_matches_best_count,209,243718996.25,Life Technologies,review_possible_alias_merge,high,open,,,,,2333.72
SUP60C67FD689C9,"Imp Aerospace, Avionics Division",review_multiple_stripped_name_matches_best_count,22,2012420414.0,Imp Aerospace Avionics Division,review_possible_alias_merge,medium,open,,,,,2232.42
SUP708E467AF96D,Weatherhaven Global Resources Ltd,review_multiple_stripped_name_matches_best_count,61,1616061336.72,Weatherhaven Global Resources,review_possible_alias_merge,high,open,,,,,2226.06
SUP96FB1F2A8813,Sierra Systems Group Inc,review_multiple_stripped_name_matches_best_count,132,883879943.04,Sierra Systems Group,review_possible_alias_merge,high,open,,,,,2203.88
SUP049E68463A0E,"Textron Systems Canada, Inc",review_multiple_stripped_name_matches_best_count,5,2147741705.2,Textron Systems,review_possible_alias_merge,medium,open,,,,,2197.74
SUPE6D478226872,Tpg Technology Consulting Ltd,review_multiple_stripped_name_matches_best_count,108,1107629125.11,Tpg Technology Consulting,review_possible_alias_merge,high,open,,,,,2187.63
SUP9F2619AA1E0A,Hoskin Scientific Ltd,review_multiple_stripped_name_matches_best_count,181,360359136.66,Hoskin Scientific,review_possible_alias_merge,high,open,,,,,2170.36
SUP129811F51238,Adecco Employment Services Ltd/services DE Placement Adecco Ltd,review_multiple_stripped_name_matches_best_count,209,40851577.0,Adecco Employment Services Services De Placement Adecco,review_possible_alias_merge,high,open,,,,,2130.85
SUP7F545339570E,Abb Canada,review_multiple_stripped_name_matches_best_count,173,397071647.72,Abb,review_possible_alias_merge,high,open,,,,,2127.07
SUP6DBFE968A476,Atlantic Grocery Distributors Ltd,review_multiple_stripped_name_matches_best_count,208,43568534.0,Atlantic Grocery Distributors,review_possible_alias_merge,high,open,,,,,2123.57
SUPF6F0826BEB86,Nisha Technologies Inc,review_multiple_stripped_name_matches_best_count,180,318674905.0,Nisha Technologies,review_possible_alias_merge,high,open,,,,,2118.67
SUPB21104251A33,Grand & Toy Ltd,review_multiple_stripped_name_matches_best_count,165,454925319.89,Grand And Toy,review_possible_alias_merge,high,open,,,,,2104.93
SUP76C27AAA8F5E,Waters Ltd,review_multiple_stripped_name_matches_best_count,196,141769621.66,Waters,review_possible_alias_merge,high,open,,,,,2101.77
SUP3C6C7A122699,Ansys Canada Ltd,review_multiple_stripped_name_matches_best_count,207,28041568.88,Ansys,review_possible_alias_merge,high,open,,,,,2098.04
SUP6B5533ABC25F,Xerox Canada Ltd,review_multiple_stripped_name_matches_best_count,97,1127775713.55,Xerox,review_possible_alias_merge,high,open,,,,,2097.78
SUP595B037031E5,Siemens Canada Ltd,review_multiple_stripped_name_matches_best_count,199,99035466.96,Siemens,review_possible_alias_merge,high,open,,,,,2089.04
SUPNAMEF0D8B6C5502C,BGIS / BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,low_synthetic_name_only,44,1630634572.52,BGIS / BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,review_create_or_link_master_supplier,medium,open,,,,,2070.63
SUP29CBD9748B1B,Englobe Corp.,review_multiple_stripped_name_matches_best_count,181,224453380.4,Englobe,review_possible_alias_merge,high,open,,,,,2034.45
SUP86A2B615B749,KPMG Llp,review_multiple_stripped_name_matches_best_count,150,532205984.52,Kpmg,review_possible_alias_merge,high,open,,,,,2032.21
